Mixture	B	CD4Tconv	CD8T	DC	Endothelial	Epithelial	NK	Plasma	Malignant	Mono/Macro	P-value	Correlation	RMSE	Absolute score (sig.score)
value...1	0.063804939947928	0.273833148018135	0.11778581705486	0.293198956450684	0.210707654364287	0.0340754616956255	0.189966345531627	0.00203019248382492	0.583141759688788	0	0	0.877234274541799	0.910260555384074	1.76854427523576
value...2	0.340336352386439	0.191973246305283	0.144758278886827	0.150471231333761	0.212462520513154	0.367541939789591	0.291263110946617	0.00117102842554013	0	0.118032683612934	0	0.912159112748385	0.902625960557932	1.81801039220015
value...3	0.0908908980518726	0.0538614509678623	0	0.120948204868352	0.210766109610104	0.0997932374940388	0.0382396003896574	0	1.18625705581782	0.0227053906623235	0	0.823685406650928	0.896786391210117	1.82346194786203
value...4	0.0745229534354885	0.0243424704201315	0	0.186360569054574	0.158587682428487	0.121429562955402	0.0181071102271575	0.00293273778582163	1.19881425783096	0.0517016854580013	0	0.813721909016648	0.896964327910078	1.83679902959602
value...5	0.0901241397370708	0.110418702454299	0.00655303286761263	0.0234350792306999	0.16452793492015	0.0391687036737983	0.0223210341687038	0.00109553212670568	1.33979672903936	0	0	0.800163157112557	0.892449455197867	1.7974408882184
value...6	0.26361864855488	0.112226810613162	0.0129587275644782	0.114947062808753	0.256254981012438	0.0294841564909242	0.091313259251763	0.00142205798565147	0.737053203585627	0.16274583441132	0	0.848854648939517	0.913410108352977	1.782024742279
value...7	0.113076522886721	0.211121457614535	0.0226990038475598	0.165757785134511	0.276425906046239	0.023489549383303	0.202479425905158	0.00705443678227168	0.752907533910687	0	0	0.840492892236157	0.912498573120196	1.77501162151099
value...8	0.0923193788615702	0.116518788740002	0.000714061263471894	0.266992679202229	0.195840807800397	0.0124620271918216	0.108767522300336	0.00112200568402623	0.8888521792048	0.111741800454706	0	0.837911509400909	0.907914277424861	1.79533125070336
value...9	0.0297004102862168	0.0298391218042731	0	0.0352469568590844	0.102675682536291	0.0390856077975421	0.0222535383333819	0.00131256356047995	1.54821740058822	0	0	0.807135740723412	0.878980702108298	1.80833128176549
value...10	0.140037510122708	0.123494416158713	0.00420021871809434	0.155762508324911	0.257620109219434	0.12600865861586	0.0452118067366667	0.000547973946674751	0.956837597214756	0	0	0.838058267955127	0.906468245623925	1.80972079905782
value...11	0.272961352272876	0.31297785963313	0.100311751874307	0.0852995113209628	0.0922347217990666	0.156053751185248	0.0508512324674866	0.0030995304208857	0.636624864310682	0.0337803077168493	0	0.865408751863651	0.914226269418313	1.74419488300149
value...12	0.149291641212322	0.150382754075452	0.0262427625467712	0.216502915926598	0.3005230575131	0.125695854207823	0.0853922571157174	0.00191229934778076	0.70736241896303	0.0402696002276709	0	0.85890050614277	0.913937288689836	1.80357556113627
value...13	0.0894515841111197	0.0869725985484772	0.0127788616465656	0.17814102059937	0.205642844998275	0.0155940975463224	0.0790182445062591	0.00359151490405987	1.05462483394622	0.0802922063074445	0	0.826903724115077	0.903472370103448	1.80610780711411
value...14	0.102661069723328	0.18545878654493	0.0359632410201107	0.253974286911395	0.163460077235965	0.105205936704525	0.100214810526601	9.54873785943667e-05	0.818255027873475	0.0379230712316944	0	0.843612636741108	0.911726146367289	1.80321179515062
value...15	0.208080471670935	0.138793473813444	0.162310860078014	0.36106424456186	0.121487893455096	0.0389442769531776	0.25640539709867	0.00628673446377493	0.406925520755516	0.0806285564732119	0	0.887010674584844	0.903866233607705	1.7809274293237
value...16	0.107347743573089	0.0924218581091546	0	0.0895271181845305	0.169791055663287	0.281326358204425	0.162939205115637	0.00345990808227116	0.852767420624233	0.090266548143599	0	0.840814549355405	0.908207455065125	1.84984721570023
value...17	0.299385336869018	0.298601886626277	0.137682117327946	0.39613742513094	0.0765344057530831	0	0.332273101477126	0.00418104142255936	0.029254804617256	0.127995012648862	0	0.919837799438366	0.879286116698966	1.70204513187307
value...18	0.0894873266827453	0.340782477520739	0.0522873183327492	0.349187873566051	0.1909851482492	0.181053493873204	0.224190031331748	0.00293055199052961	0.23633790426298	0.152408592729137	0	0.902968036017459	0.906742546781523	1.81965071853908
value...19	0.0998359160273175	0.150067864817413	0	0.337396383126605	0.248940849189154	0.0924774265119144	0.244346856569754	0.00436366979159491	0.499226890984289	0.146151197762255	0	0.878651610249314	0.910248581933183	1.8228070547803
