Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
value...1	0	0.0983372591355052	0.00193302687573664	0.487073893697771	0	0.14431840505503	0.0306903774460989	0	0	0	0.31658889566022	0	0.0793600880862297	0	0	0.0241467050097594	0.0329681323513092	0.170020164040342	0	0.137537567081163	0.180969850923963	0	0	0.526559787758059	0.849322570478622	1.70394436536313
value...2	0.00138721530243617	0.239111369525103	0	0.459004266609297	0	0.0422507035239625	0.127534352887099	0	0	0	0.399345679053373	0	0.0491162692345852	0	0	0.0314056880472152	0	0.184150613284921	0	0.122659218800335	0.26571675363797	0	0	0.624531528990858	0.785954733108471	1.9216821299063
value...3	0.014704850689487	0.0944899945792401	0	0	0	0.19341665942786	0.0164624748123221	0	0	0	0.1204612603828	0	0.0046652410230718	0	0	0.0673653363868644	0.0129535889582699	0.168588068488811	0	0.0876668066108017	0.156749256977187	0	0	0.118403432647249	1.03534500004335	0.937523538336715
value...4	0.0195696333322207	0.0954497403171278	0.0508932571014554	0.0203815376566475	0	0.0945425700151974	0	0.0310945197107781	0	0	0.0477545308003405	0	0.0634913281186442	0	0	0.0198924931589804	0.109690765931388	0.160099856974744	0	0.0859818731283014	0.157842811388646	0	0	0.182292639240416	1.00114735909224	0.956684917634472
value...5	0	0.14128159708081	0.00200304676233407	0.150250085024113	0	0.218288088606472	0	0	0	0	0.0414390348962671	0.00898057551681937	0.021457112862253	0.0258113560735272	0	0	0	0.108056367109501	0	0.0714580847324926	0.133505082815302	0	0	0.197250620752896	1.01656851107433	0.922530431479892
value...6	0	0.228710320499479	0.00526756892905955	0.276363954698786	0	0.0403793375614361	0.0222453854527167	0	0	0	0.160107213038437	0	0.0538019741706226	0	0	0.0577997002053347	0	0.219658212435214	0	0.0803210199475993	0.246649749891483	0	0	0.422770672848065	0.904618272256143	1.39130443683017
value...7	0.0185366694700123	0.0980703441511963	0.0113056720115221	0.250348738012104	0	0.207253360390323	0.0554234937390703	0	0	0	0.322489335957175	0	0.0571453280997058	0	0	0	0	0.148900458395058	0	0.128124038658667	0.186357500714915	0	0	0.451679228238069	0.894345851074162	1.48395493959975
value...8	0	0.0973367371329281	0	0.225129706462772	0	0.0951499081344934	0.0408717683226883	0.0257885510515919	0	0	0.174412832790674	0	0.0772685419754794	0	0	0.0744598039456947	0.0338306669767387	0.202816970684176	0	0.115076133072654	0.188027995625821	0	0	0.341383652402875	0.942851227060127	1.35016961617571
value...9	0.0698829600153408	0	0.0935507447986074	0.023774264838508	0	0.115192806123271	0.011485049324673	0.0680818230291415	0	0	0.104864934340358	0	0.0221468138944073	0	0	0	0	0.127201189069439	0	0.0676885390183775	0.0627242189971443	0	0	0.0606090391033944	1.06924687574492	0.766593343449267
value...10	0	0.173476199053062	0	0.0984104256284702	0	0.200881083579205	0	0.00672268622017873	0	0	0.134342631808328	0	0.0493627732405499	0	0	0.0272332538295019	0.0112332489927451	0.149685915734659	0	0.111102969415507	0.153158707322766	0	0	0.271934545536607	0.974634277861215	1.11560989482497
