Mixture	B	CD4Tconv	CD8T	DC	Endothelial	Epithelial	NK	Plasma	Malignant	Mono/Macro	P-value	Correlation	RMSE	Absolute score (sig.score)
value...1	0.120815824634979	0.134860376309748	0.054974385305095	0.296956318299728	0.247734817201573	0.0287555740999493	0.143435913376876	0.00568926034719158	0.642950777545201	0.147810655286542	0	0.864620299774556	0.910997825178576	1.82398390240688
value...2	0.137697721620343	0.170690472774794	0.0844575284397363	0.424305452047574	0.165414758547777	0.0204294774731871	0.262516620409407	0.00601586697414756	0.073196084630661	0.482931022291721	0	0.911390915639051	0.879704455032944	1.82765500520935
value...3	0.0712455000314767	0.191355048188543	0.0670263940088997	0.154125336482647	0.140560161600093	0.247096437488888	0.154545506886503	0.00464881560814466	0.749385738745182	0.0864545797708816	0	0.853703892799667	0.911478194813283	1.86644351881126
value...4	0.102695209304155	0.267294475834511	0.159514269970124	0.432871128206557	0.251329722913791	0	0.118412035843699	0.00428139900761383	0.0272399626060047	0.42208873932369	0	0.899962051666609	0.885647448748744	1.78572694301015
value...5	0.095832824471057	0.101932468413399	0.00462218097757403	0.136257804460438	0.0978920009107879	0.15486009514311	0.047358158986352	0.00142791705788295	1.11903340608218	0.0879791361303806	0	0.824590753292736	0.900734632878912	1.84719599263316
value...6	0.0738528276270108	0.0899012565000901	0.00414733590963238	0.210028103365301	0.247592351535484	0.0718366649540027	0.00331585260259657	0.00323644766816391	1.08835050487993	0.0416904150623696	0	0.825444975451561	0.9014097641894	1.83395176010458
value...7	0.176894473949168	0.281716546578231	0.120276130887126	0.245897498000925	0.18719624980982	0.0731339990404553	0.215873692658803	0.00174107353928402	0.298400360077092	0.21032007674305	0	0.90073964171139	0.905097523677202	1.81145010128396
value...8	0.129364765157519	0.0686172434421378	0.00424961558504297	0.416085886666312	0.0914233821157061	0.188921378998013	0.271521375528525	0.00310216515277677	0.13316080692079	0.586471859178147	0	0.89744150634232	0.883722250489245	1.89291847874497
value...9	0.0854036015562751	0.0312083804781262	0.0366268473727156	0.105106884957721	0.104848783847765	0.000740969860597957	0.0281452341986763	0.00264360310967697	1.36849121743772	0.0515355504799584	0	0.814306812932262	0.889958903182451	1.81475107329923
value...10	0.0750763375456344	0.0651993936931492	0.000988087738012353	0.1109378779013	0.177172046396198	0.0326779406060822	0.0317639469004377	0.00104471417921554	1.24755324258771	0.0708057891557504	0	0.830576519750753	0.893058603592637	1.81321937670349
value...11	0.0679821125252607	0.0901386048212805	0	0.129547791741285	0.284644860705879	0.071037805590569	0.0328396390826556	0.00351122702282848	1.04734282461894	0.101066691911645	0	0.830242283504198	0.902300236734974	1.82811155802035
value...12	0.170750613882157	0.198142009064251	0.087488613314939	0.327612349515836	0.275540346709335	0	0.162572858898197	0.00415833935214757	0.307958204599235	0.248868801125686	0	0.892050108416089	0.904366175533904	1.78309213646178
value...13	0.0494382827256072	0.0270168787774417	0.00594365856847161	0.0713672237960107	0.125271070144354	0.0709519537546339	0.0200728687221994	0	1.41290844765032	0.0551972519308826	0	0.824143607981919	0.884923681140849	1.83816763606992
value...14	0.108611224144029	0.115017913600576	0.0074039895157036	0.148132850493519	0.225212997754359	0.0792493312146868	0.0328347523330294	0.00309968966447007	1.04994422004807	0.0516444497711268	0	0.835374835309559	0.902780437187147	1.82115141853957
value...15	0.218622837277637	0.175124373242101	0	0.141384578642685	0.29415619604839	0.308570611340294	0.140917946334783	6.09927321819912e-05	0.421692629106729	0.181739159480008	0	0.888365797057997	0.915695715214718	1.88226932420481
value...16	0.246713041867626	0.288995074046429	0.0279021986897955	0.275109503375178	0.14362133316829	0.254575120115292	0.0304807117248769	0.00341268741814351	0.0628031174215897	0.504351605844527	0	0.907241270736467	0.895220826187765	1.83796439367175
value...17	0.145803748014663	0.0683882149517545	0	0.118514944586738	0.112090449843106	0.215349724947231	0.134362550012945	0.00646207439611505	0.98050671796101	0.0842164010844635	0	0.824935051819362	0.906549278881266	1.86569482579803
value...18	0.155383389476811	0.129273362136583	0.0712217025756228	0.310384171674395	0.14455559308856	0	0.0577141744721698	0.000279921778866142	0.644422666384609	0.299576000701391	0	0.877428454081488	0.904190819939264	1.81281098228901
value...19	0.0835443734593187	0.131632201722417	0.00703339840266565	0.161541675678438	0.162602953335389	0.0188863555199297	0.0446090584671939	0	0.995259039025741	0.217110454132069	0	0.84462257424947	0.902416620007575	1.82221950974316
value...20	0.149232170569464	0.173681592866044	0.00682296528744953	0.356154059546736	0.116108022935507	0.191869747254369	0.0573828365550669	0.00562461580115156	0.53180291766802	0.264708563172072	0	0.870305493870327	0.908768322687711	1.85338749165588
value...21	0.136002877313264	0.111286632182021	0.000769760276037947	0.354636497736513	0.102086417484846	0.123428351733876	0.0293109732879225	0.000478722432545493	0.733881927974828	0.245377607866092	0	0.854035297257391	0.906519008856178	1.83725976828795
value...22	0.103555601890162	0.232625906752469	0.0189480402283126	0.337548512876839	0.331459670559144	0.070871012198876	0.0981116869786497	0.00649999065949783	0.570983172844263	0.0461030566377516	0	0.851791079585352	0.91623505452246	1.81670665162596
value...23	0.185681628502154	0.201798377754563	0.0293086095111882	0.30998785245846	0.0649883399496337	0.0972984169170495	0.0788847160020819	0.00109128169323356	0.558125409957404	0.29740781847497	0	0.881171705315831	0.906032184082931	1.82457245122074
value...24	0.0984652551302514	0.103322885177201	0.0127713474747732	0.214086207351155	0.181503677764104	0.00916510751348774	0.0507952386256483	0.000547726401444668	1.01288002596017	0.131490132922364	0	0.842628136535883	0.90285520172044	1.8150276043206
value...25	0.0788401813273451	0.0729026514932351	0.000330649794724287	0.34125500102545	0.0812474404918997	0.233338208825189	0.0715057104358169	0.00197769633444573	0.634274195035501	0.369791696369628	0	0.873029461723813	0.901813656177924	1.88546343113324
value...26	0.142794717485072	0.0679278766441073	0.0101622051312882	0.176498895309142	0.149235071328924	0.0781483597951455	0.0459821731038875	0.00342206418634768	1.00909317942563	0.150423302592592	0	0.819447831943149	0.906138114661544	1.83368784500213
value...27	0.125982430136459	0.112922872523316	0.00535154606851528	0.141347151388936	0.205514616672448	0.0176139363540964	0.0508276742009347	0.00249167180675641	1.04544034951099	0.105084542052865	0	0.823760121440793	0.904758358626988	1.81257679071532
value...28	0.157091260299219	0.157506701057589	0.0207521810698275	0.223894779525841	0.0989458999255084	0	0.0581531204297728	0.00170689580849747	0.965600314106918	0.113599132706976	0	0.840404271582827	0.905663497124627	1.79725028493015
value...29	0.200513121596452	0.123861291220112	0	0.258929605853374	0.104817516874426	0.216029668400964	0.115963890574685	0.00663470855316785	0.561778296187826	0.271635122751066	0	0.874316136183327	0.909401082305523	1.86016322201207
value...30	0.102094424700101	0.0958382324602181	0.0430509964849998	0.24450213650715	0.23714590809548	0.103334019350825	0.0928694663731812	0.00202909717957199	0.828500471626798	0.0965363700925752	0	0.839432468584586	0.911462115822919	1.8459011228709
value...31	0.075101931826898	0.0858290540611412	0.00137003377881964	0.351719372203979	0.279126713630593	0.148978753061675	0.155775093022989	0.00459360812198764	0.58417756998893	0.189733689100539	0	0.869022624826102	0.910625429232518	1.87640581879755
value...32	0.214822708074672	0.135604523675465	0	0.386467026735648	0.358633546544246	0.266339266906452	0.147810068532747	0.000855654544411457	0.162953688322187	0.194089869829145	0	0.901857458440223	0.910329487290199	1.86757635316497
value...33	0.205883381329371	0.290087145999514	0.00360109063904575	0.166969926719502	0.47991592463552	0.343481032867918	0.0495501768638423	0.00294563941652426	0	0.320673507409923	0	0.900606569939785	0.909420598929258	1.86310782588116
value...34	0.103301846093194	0.227510757816727	0.00405552414558017	0.274147341087827	0.180005506866353	0.20603376948745	0.0839315857718912	0.00408989501667569	0.578903071822835	0.189493131189096	0	0.87396548803939	0.912313818245268	1.85147242929763
