Mixture	B	CD8Teff	pDC	Endothelial	Epithelial	M2	Monocyte	M1	NK	Plasma	Malignant	Th2	P-value	Correlation	RMSE	Absolute score (sig.score)
value...1	0.111817523726485	0.0597720810442538	0.245603868796894	0.24453988311525	0.0272609212888011	0.0540723725460916	0	0.161926464772126	0.124699607488401	0.00558200746549785	0.650071184535449	0.110727123563046	0	0.870068116609904	0.898405123235191	1.79607303834229
value...2	0.11710535859413	0.101159789599728	0.425750250449625	0.174212550073159	0	0.234333223942789	0.00274851710602382	0.254717326125622	0.227564107867536	0.00559360858198849	0.0845116237675105	0.143049359210391	0	0.909694992010929	0.866298861067907	1.77074571531851
value...3	0.0751292280486849	0.078804684720596	0.0980343240220842	0.138226136679543	0.250614222189265	0	0	0.133734246664052	0.142271697280011	0.00482417170505972	0.743327188040471	0.170542354611684	0	0.868790242066847	0.899009835796962	1.83550825396145
value...4	0.0713881833557105	0.148279299031669	0.347596989256531	0.273043508513514	0	0.0547795483478177	0.0571611940143131	0.393685316970582	0.0977239530239612	0.00479059093244955	0.0325553258315758	0.253322134545395	0	0.911511705737817	0.869797810272419	1.73432604382352
value...5	0.0967519187217618	0.0110696523597918	0.0836877051005572	0.108544267272029	0.159581584088923	0	0.00769971956530962	0.127147281309731	0.0428096331476253	0.00164699015221199	1.10859410116224	0.0867669499788591	0	0.849937967544484	0.886805742073918	1.83429980285904
value...6	0.0821699306274503	0.00859613145364111	0.196287302707138	0.236004543028709	0.0763719182766817	0.00159154720373632	0	0.0529431024363595	3.15407813076356e-05	0.00342643485855162	1.0847729985115	0.0777949397490373	0	0.849526846020919	0.886401552978675	1.81999038963412
value...7	0.175242070929418	0.134866424048058	0.166215160495341	0.17092499013947	0.0705886246882074	0.0721113162264796	0	0.247246729278299	0.183012888314996	0.00204554727204747	0.313099257457409	0.237190146851249	0	0.901219645741526	0.89340763467601	1.77254315570097
value...8	0.116258464510161	0.016206467943918	0.332748113416368	0.0929519342432198	0.195486406749477	0.101259508518875	0.0968731032430054	0.461814660907155	0.236897521216019	0.00348072235529624	0.142470369783981	0.0431376809910505	0	0.915775232995126	0.868958168543555	1.83958495387853
value...9	0.0897412267186747	0.0115854165291427	0.095718499037156	0.0948878468827965	0	0	0	0.075420713840298	0.0367417177643086	0.00239812089481946	1.3645915808683	0.0325092781910576	0	0.841247070560747	0.874319343097483	1.80359440072655
value...10	0.0734303001456558	0.0459582111921516	0.0918593447423839	0.167732425678808	0.0520624448946345	0.0379534889502358	0	0.0600141182444701	0.00980240523958089	0.00162409429220076	1.23833954649439	0.0246465219241267	0	0.855593118037709	0.877402619642562	1.80342290179864
value...11	0.0723578175140523	0	0.107050647387822	0.263071503035534	0.0826328840128871	0.0321014154325182	0	0.109907769701822	0.0217108743601996	0.0038608197890337	1.04914594697815	0.0738688200644039	0	0.849956718209149	0.887314300876614	1.81570849827643
value...12	0.144732256795208	0.0827501779374304	0.28725248511433	0.283974144914778	0	0.00735929918268809	0.0166270522600304	0.273284614698383	0.145899992404268	0.00374706739703141	0.347008781633077	0.149395802857419	0	0.898696280085438	0.891647986476585	1.74203167519464
value...13	0.0569967130319034	0.0195708598597734	0.0518287703196885	0.104565318702535	0.0963856095726047	0.0559163726693679	0	0.0303825192765844	0.0115893918017016	0.000126760029509679	1.37716594734395	0.0288074320572731	0	0.851874088464874	0.870109589114285	1.83333569466489
value...14	0.107517741240731	0.0153992767758235	0.146545111497357	0.207468327708262	0.0822196865535328	0.017455282455585	0	0.0464956952910399	0.0273085954231226	0.00346560216727469	1.05878541282845	0.0963043437115518	0	0.856328566491885	0.887875710834661	1.80896507565273
value...15	0.243184568589031	0	0.116774078624316	0.265036526692763	0.345409034843068	0.123908451019522	0	0.0764852965780495	0.13628691671619	0.000826241255467209	0.393448008654302	0.15077116241724	0	0.891012309395829	0.903368500129413	1.85213028538995
value...16	0.250288575804209	0.0431083152571995	0.28507782158908	0.123604886589033	0.247625145065827	0.277822579102163	0	0.224183042778189	0.0186774797533561	0.00354826414013981	0.0632051581527108	0.250415394481302	0	0.904699504498556	0.883889278380831	1.78755666271321
value...17	0.175049923225987	0	0.0903012952182631	0.0866865269797121	0.217345910771412	0.0553629288836274	0	0.0658271825575064	0.114143271081706	0.00640745346770922	0.98392102621734	0.0533218386147989	0	0.841600793218517	0.893742121274406	1.84836735701806
value...18	0.165060754989567	0.0790508729648534	0.295137240826325	0.13049463049199	0.00279560253406849	0.1642131152631	0.0169949624553001	0.130235598297996	0.0474375477280396	0.00125661536583148	0.65092897024219	0.100213626250187	0	0.881094961857281	0.892422441152929	1.78381953740945
value...19	0.0728063402431671	0	0.123750962341438	0.168672811818958	0.00586780564340763	0.0677149324112411	0	0.173841578718502	0.0484498812757592	0.00040209118370014	1.01609937278595	0.127051983218882	0	0.863502319568476	0.888152555807245	1.80465775964101
value...20	0.137756124719139	0.00849949246708172	0.309980758664341	0.106470592715419	0.193320221016584	0.130549821557345	0	0.199470973304051	0.0532605176445013	0.0066751288037088	0.531249186505115	0.143767890613095	0	0.875012608757079	0.896833550453393	1.82100070801038
value...21	0.117253218080157	0.013377130123163	0.297648160648503	0.111312824225677	0.131224716721218	0.0487598321951934	0	0.249697846107557	0.0185731653087648	0.000919717474419976	0.738018708995059	0.0846909511400321	0	0.870381390803626	0.894423227276527	1.81147627101974
value...22	0.112086238358813	0.023589113684479	0.274557490332674	0.300611905988466	0.0833359076775605	0.00191723091976761	0	0.122435411575185	0.0869842085538293	0.0069474034684384	0.566138655687021	0.210085204071221	0	0.857638071437411	0.9040234338817	1.78868877031746
value...23	0.167472743402479	0.00914560551953756	0.267654658626611	0.0994774526825025	0.0719962882900415	0.0257455242361542	0.0430193086011997	0.248409294356394	0.0860343450713738	0.001939927557291	0.603169922520309	0.168282533778213	0	0.890780404833195	0.89481399498814	1.79234760464211
value...24	0.110554552971658	0.0162728603236891	0.213167861977685	0.168745607320688	0.0126385687009537	0.0517523419460729	0.0262354221481653	0.0476414547006072	0.0440454927891911	0.000697627542197701	1.01296357539492	0.0918789475433108	0	0.863139939741588	0.888579631074602	1.79659431335914
value...25	0.0639430844947722	0.0102713262558541	0.312435171216058	0.0797962128751948	0.238471436515053	0.0841914706917215	0.0157684876308877	0.277626558988955	0.0585739861576046	0.00225614657551047	0.655650362511941	0.0558237743039453	0	0.88676526224112	0.890432652674246	1.8548080182175
value...26	0.149955737203676	0.0213188042560594	0.142432591799645	0.133400468137738	0.0836209148227234	0.0290056204621744	0.010724298647392	0.127608987999774	0.0386631728477139	0.0036999163126787	1.02643829486743	0.0493495885633602	0	0.837700394763468	0.892721379562095	1.81621839592037
value...27	0.131828981216877	0.00646151797066158	0.0979995298160833	0.192078543305772	0.0250377670588271	0	0.027233100089031	0.113182678393179	0.0433735750592019	0.00274872572192246	1.05151181845388	0.105083314466511	0	0.846145530011803	0.890310204250689	1.79653955155195
value...28	0.158253647025299	0.00419822083590988	0.206276593969481	0.104761683885307	0	0.0242040791618266	0	0.108287151622276	0.0695025503615033	0.00162260733638973	0.968193147119414	0.131330741510511	0	0.857803945439562	0.892831420114387	1.77663042282792
value...29	0.174014742190385	0	0.218748092762001	0.114679596014784	0.195881568505708	0.0463630187174122	0.0292173152351254	0.229526041072575	0.110112521362666	0.00637061353210082	0.596021007908861	0.105012923759548	0	0.882132577937031	0.898085626822219	1.82594744106117
value...30	0.10822379561361	0.0491247833557871	0.193467299163955	0.205021287048614	0.117097377332198	0.0646199334972961	0	0.107908145013148	0.0803518041386081	0.00238486891810691	0.812739941714131	0.0815742939105091	0	0.856250179905928	0.898367253752102	1.82251352970596
value...31	0.085300758263309	0.010286825808207	0.284774591430556	0.245127542375193	0.145777537334455	0.086427222068631	0	0.177406481415829	0.137352282321281	0.0046103491336994	0.598350108259282	0.068670953900573	0	0.875511873687927	0.897578859800059	1.84408465231102
value...32	0.20244802793843	0.0115529448747464	0.371436716314141	0.364501502970999	0.246024536329167	0.00424353168888671	0.0420079588617314	0.149747814334409	0.128463018428052	0.0014567531771479	0.211579145802238	0.0980575421389602	0	0.900630478724534	0.897903815409904	1.83151949285891
value...33	0.194571826358078	0	0.164246699115824	0.478642213381077	0.316970653393059	0.143437919424686	0.0203807808696978	0.156239901882208	0.0607974220805033	0.00334410942054514	0.0220834659573523	0.268915540257257	0	0.894065091684953	0.896460715231983	1.82963053214029
value...34	0.0876319744695536	0	0.25405088482626	0.195791500587824	0.167969011671191	0	0.00535196810649224	0.202235105921625	0.084745855067511	0.00348417484304655	0.617803895210527	0.204364990376562	0	0.883329429363983	0.900023654608935	1.82342936108059
value...35	0.0798915700185468	0	0.138291439390548	0.157042660869974	0.0594738496978045	0.123137492135233	0.00198493268384304	0.102008775213016	0.0241676832877414	0.00270582967576064	1.05648696152725	0.0780959961155605	0	0.851645499201551	0.886865916422886	1.82328719061528
value...36	0.0845895111310475	0	0.0893331777351534	0.126816446070613	0.00203130175729222	0.0486272545381045	0	0.0455295534200777	0.00199667210389696	0.0012665338279945	1.36029774048724	0.0365081416991023	0	0.837700918435247	0.87340947709458	1.79699633277052
value...37	0.0634229911722336	0	0.116937548959281	0.0946039131090677	0.12193187268177	0.0740157781904316	0	0.087740382843335	0.0452089559729826	0.00264093478007213	1.17628294689041	0.0542909799621181	0	0.853174792980522	0.881741908874401	1.8370763045617
value...38	0.0534013330937039	0	0.0524970759487927	0.134599690709994	0.0145159554781378	0.0144670892237961	0	0.0681073032114168	0.0367262609813208	0.00140435557440785	1.38206761555542	0.0478300382829181	0	0.840017453723678	0.872430360637312	1.80561671805991
