Mixture	B	CD4Tconv	CD8T	DC	Endothelial	Epithelial	NK	Plasma	Malignant	Mono/Macro	P-value	Correlation	RMSE	Absolute score (sig.score)
value...1	0.0653000373734296	0.267677281720164	0.122347074389199	0.28244255987553	0.225130130440531	0.0282146144626802	0.192371510362104	0.00182021065375579	0.583240824860756	0	0	0.877039061680746	0.91026066324844	1.76854424413815
value...2	0.340249004505406	0.191848089838321	0.144713640039722	0.150214429777837	0.21276000695001	0.367651476460539	0.291225505462345	0.00116826015044327	0	0.118179944031448	0	0.912157245604487	0.902638205964734	1.81801035721607
value...3	0.0909104808631468	0.0539067797481967	0	0.121051212769402	0.210872327825338	0.100036303540871	0.0383133652222875	0	1.18575390342174	0.0226175427046041	0	0.823723753719075	0.896804293586474	1.82346191609559
value...4	0.0742100318030826	0.0246362156255959	0	0.187049070433627	0.158556691568806	0.121134546252404	0.0177185303745385	0.00293510257364289	1.19937324749088	0.051185557012887	0	0.813696431983351	0.896941028234431	1.83679899313547
value...5	0.0900151339451523	0.110134024421982	0.00669513850625228	0.023473874581514	0.164517949294469	0.0391565405383437	0.0222432463119544	0.0010968833017373	1.34010806562909	0	0	0.80014048283866	0.892433487949514	1.7974408565305
value...6	0.26359220373821	0.112124028535351	0.0130857537888419	0.114957251710033	0.256226913253039	0.029444999707775	0.0914012154491931	0.00142216080388718	0.737090223007452	0.162679960706542	0	0.848852974281349	0.913409795003214	1.78202471070032
value...7	0.112799469881843	0.211020624209985	0.0226667310222953	0.166007356152168	0.276694912128027	0.0235902400610417	0.202424594351724	0.00706547776643133	0.752742184830572	0	0	0.840505949009739	0.912500165220028	1.77501159040409
value...8	0.0921933989388214	0.116590249960277	0.000718704805548244	0.266978275974816	0.195836598300773	0.0124889539128424	0.108760043515852	0.00112350543462289	0.888907343240956	0.111734144985825	0	0.837901492638575	0.90791333292028	1.79533121907033
value...9	0.0297353877440801	0.0298059055136504	0	0.0350317989884632	0.102876527057184	0.0391259592215456	0.0224798899451163	0.00131334776254934	1.54796242905259	0	0	0.807143813370761	0.878994081032853	1.80833124528518
value...10	0.140033451265239	0.123349662500885	0.00432137194407665	0.155920745819178	0.257696687722718	0.12595511087562	0.0451252733000231	0.000547290844879876	0.956771174439162	0	0	0.838068035624896	0.906469578257432	1.80972076871178
value...11	0.273122463956482	0.312991266094791	0.100237085040249	0.0855571787743458	0.0921580721418438	0.15596505675123	0.0508665682141342	0.00309686446337956	0.636594353328483	0.033605942010605	0	0.865421642851732	0.914225131398865	1.74419485077554
value...12	0.149225002414818	0.150372112099518	0.0262190075542147	0.216570780338392	0.300568582511984	0.125654283706191	0.0854340860168766	0.00191286955320682	0.707252565071149	0.040366238340157	0	0.858918166959894	0.913936983016426	1.80357552760651
value...13	0.0894658969423434	0.0870602321948824	0.012652300607073	0.178071372825399	0.205646529955441	0.0155265530534562	0.0791120015984038	0.00359153624643258	1.05470854472811	0.0802728074314561	0	0.826897043748305	0.903470485026795	1.806107775583
value...14	0.102675596217942	0.185502698274052	0.0360326134427972	0.253971643301685	0.163394925580511	0.105228470562095	0.100153231902991	9.52399513385136e-05	0.818270701922462	0.0378866427022355	0	0.843609473391912	0.911726668483849	1.80321176385811
value...15	0.207988531979143	0.138734978323451	0.162548688213041	0.36100055900345	0.121615384025936	0.0389799600746208	0.256186105192882	0.00628690480614357	0.406915461261788	0.0806708184262891	0	0.887009588586225	0.903874731650319	1.78092739130674
value...16	0.10700283421526	0.0926828543956846	0	0.089217187210995	0.169952266221795	0.280142282452219	0.162980599891475	0.00346265623030943	0.853798312994784	0.0906081925411748	0	0.840731035675911	0.908202197724454	1.8498471861537
value...17	0.299413484674574	0.298613344925759	0.137684261270343	0.396127242224072	0.0765392688853288	0	0.332266583051378	0.00418098080067451	0.0292476108045386	0.127972323052594	0	0.919838241680678	0.879286552962137	1.70204509968926
value...18	0.0897361138930546	0.340607737614312	0.0524752060944914	0.350362003488339	0.191183708181933	0.18096128109146	0.223725466815542	0.00292553124864128	0.236486077944954	0.151187556980244	0	0.902984204553472	0.906767830182209	1.81965068335297
value...19	0.0997524395604626	0.150000715107576	0	0.337353698220784	0.248923687104946	0.092483692462618	0.244395465248471	0.0043631114151173	0.499335101820827	0.146199108539361	0	0.878636317506771	0.910247041765344	1.82280701948016
value...20	0.14186361963132	0.043962383055047	0.00680002050550254	0.142980022351298	0.325491197381696	0.101356178860164	0.0256541390451722	0.000705440838683391	0.843707983509469	0.187420921609054	0	0.841304422257371	0.908039285094592	1.81994190678741
value...21	0.191610313951581	0.227705152045243	0	0.296566084160438	0.298484949148417	0.232163431248613	0.0580874351974389	0	0.478471663837457	0.0389141652762567	0	0.880440552829085	0.916873366193642	1.82200319486544
value...22	0.159705942858496	0.156681791676576	0.109015338767821	0.483106461095674	0.379922613856664	0	0.160757046207989	0.00236452599932442	0.0391786406242792	0.277338555478765	0	0.912429516218063	0.891259972009265	1.76807091656559
value...23	0.0958744855092955	0.0592848483024602	0	0.0602988132452384	0.204018202044156	0.030157654844835	0.063437175900741	0.000730067940020265	1.28058438160307	0	0	0.806529344550165	0.894530978547218	1.79438562938982
value...24	0.123759903024232	0.0563036947332389	0.0294761514422211	0.0981969737216463	0.152298736531712	0.0350383822993072	0.0133794629353523	0	1.22958324388538	0.0705712648220124	0	0.819445686156948	0.896139119399384	1.8086078133951
value...25	0.0621465338201858	0.0369928927845738	0.000160282690713848	0.0654538709160988	0.123743005833662	0.0130598598529484	0.0161774815048744	0.00206457050429881	1.46011995293074	0.011258761017725	0	0.802297980599961	0.884812298368604	1.79117721185582
value...26	0.339899662833071	0.179506868375196	0.13788604805209	0.211901076052785	0.293747287560175	0.508020381925142	0.050907886866766	0.00486542900212232	0.0471488969873303	0.0554095932513599	0	0.895315974425782	0.912215842781986	1.82929313090604
value...27	0.0882135142594903	0.118883746714789	0.0447364698927961	0.307417157647759	0.0969382977230359	0.058100594274366	0.155371603777728	0.000401734539259105	0.856997001916727	0.0776620406363674	0	0.847410049324495	0.907794189725208	1.80472216138232
value...28	0.122241760847413	0.167687995053507	0	0.203566596677419	0.175850177348846	0.0873648613034828	0.060053682916274	0.00149834629086422	0.957157219812116	0.0184126421754089	0	0.832527228266158	0.907668416678487	1.79383328242533
value...29	0.0997228999701771	0.0243147672097934	0	0.116416182725479	0.324871597143444	0.184295989246726	0.0200387550518379	0.000443914000537834	0.987174529692325	0.0904113217468138	0	0.840075481795421	0.901784947218977	1.84768995678714
value...30	0.0479731145994255	0.0386949452515149	0	0.0703673554446825	0.0947415029083895	0.00948523289611931	0.0294369595819326	0.00127099050922191	1.50068415039529	0	0	0.794828520684748	0.884158192198241	1.79265425158658
value...31	0.117120067727449	0.145957911081656	0.0376084759770704	0.338582281781788	0.252732651869988	0.139234012783791	0.252598252860025	0.00227795196857763	0.44463600402381	0.0958992792558083	0	0.889365295569961	0.910961639636491	1.82664688932996
value...32	0.27095991388921	0.125254902235066	0.0754328377591563	0.242810714906252	0.331251757547647	0.198540688889882	0.146970751480671	0.00835710206054379	0.358155967792272	0.0277924206645895	0	0.873580482972019	0.91754322591716	1.78552705722529
value...33	0.0437861711010883	0.12762813440765	0.0219639374028249	0.116223783310486	0.259329266572945	0.0167591988204227	0.0651686433706247	0.00124816031759218	1.08933170173362	0.0633271148183226	0	0.814636946702977	0.903434331603976	1.80476611185558
value...34	0.0948268629387475	0.0546667259218541	0	0.162713176087829	0.178954683399488	0.0189983830303462	0.0284693470618945	0	1.23775128359525	0.036762149322046	0	0.815117507361524	0.896156271106617	1.81314261135746
