Mixture	Macrophage/Monocyte	Ovarian carcinoma cell	Cancer associated fibroblast	B cell	T cell regulatory (Tregs)	Plasmacytoid dendritic cell	Endothelial cell	NK cell	Melanoma cell	T cell CD4+ (non-regulatory)	T cell CD8+	P-value	Correlation	RMSE	Absolute score (sig.score)
value...1	0.47826706310937	0	0.198417477804937	0.199302717823828	0.420123430935927	0.0666405788098428	0.121405891309475	0.0650775409270705	0.979432695336198	0.39477189289129	0.59239281388654	0	0.981437716191061	0.500453649508983	3.51583210283448
value...2	0.626511139946552	0.00748820008472404	0.284187906229348	0.693369802836715	0.164164142301332	0.629944326449755	0.101575122354094	0.211005054123139	0.008129869626708	0.672407568616574	0.162187957962484	0	0.967131319995428	0.47944119634301	3.56097109053143
value...3	0.122491767019732	0.00389102474219379	0.229623133618732	0.241589176877956	0.101090515784524	0.160744165243263	0.0384527613855766	0.144797581562972	2.0969046952601	0.0840851108720343	0.120659591616593	0	0.980857477178715	0.361480358932181	3.34432952398368
value...4	0.0843003084892261	0.00677185568761969	0.135340249485584	0.23968799529176	0.15370069819823	0.126583310006131	0.201166347394546	0.179056069279736	2.07999345359408	0.0935767305795973	0.0362155794967483	0	0.982993265863872	0.366845417425495	3.33639259750326
value...5	0.0582626635002043	0.00669036579968891	0.124945237860952	0.0949173132694226	0.0110183729589787	0.142632490955642	0.110653316120488	0.00716358120521606	2.31525753292749	0.150492053928573	0.221158373364281	0	0.978368564657821	0.312939726165657	3.24319130189094
value...6	0.211515097175315	0.0044273622176813	0.232112763051163	0.18328729005905	0.000279344641915118	0.532155374326309	0.155987637404197	0.452047285761796	1.35653136247108	0.263650707709526	0.162850628119	0	0.971304510558469	0.508888229264114	3.55484485293703
value...7	0.609450854197338	0	0.294288950465376	0.114739164992535	0.221562611583373	0.0761096012957332	0.397733012320331	0.00181924842937115	1.2144598705895	0.220062928643828	0.452065800152484	0	0.969453136516712	0.470940941311592	3.60229204266987
value...8	0.289267466230884	0.0101627290603991	0.143782327272103	0.148085076770726	0.1880538132263	0.140575521988904	0.105849594511489	0.280048431031762	1.61984771490663	0.232450405110439	0.334161864362232	0	0.984463081547229	0.450469082589318	3.49228494447187
value...9	0.0564363532361441	0	0.0568878687656764	0.103909600599957	0.00378190326431156	0.0109899134510365	0.0693773673404721	0.0213688417814877	2.78984927487079	0.0360935240220582	0.06860822766487	0	0.994034208155824	0.157011411543616	3.21730287499681
value...10	0.131027513724557	0.00228799888204589	0.22581739726076	0.322146778303525	0.244410819190336	0.184356072868593	0.0826675156410486	0.0245906010238345	1.69626032252276	0.18103116498227	0.247010275087223	0	0.980324971890961	0.443870563729507	3.34160645948695
value...11	0.0709890119198332	0.00479990684700906	0.00952681010927643	0.302605483141998	0.0472145143721632	0.446232515572411	0.137050278875946	0.0873342539619353	1.11415034592999	0.441771267845362	0.634958008607267	0	0.966921686920843	0.553118186537663	3.29663239718319
value...12	0.267517375921502	0.00995818807953741	0.355836253433438	0.299240002858781	0.254069603734788	0.227086693353976	0.146496363891593	0.241320555146668	1.13296281731141	0.243571293726494	0.289628350746514	0	0.956316173375763	0.540187971624779	3.4676874982047
value...13	0.189871604429467	0.0101245514423315	0.149484412388631	0.0814488430548748	0.0638830433115129	0.0914035629558382	0.200659330934912	0.304082533121822	1.86562834314318	0.380588288301334	0.0879251931761631	0	0.981249825890539	0.414677778334946	3.42509970626006
value...14	0.324449221212471	0.00428759896867808	0.117582485805247	0.294810514700395	0.217069974093517	0.190524456894112	0.04917544305812	0.216990142836611	1.32151359424049	0.309948623305537	0.392021678543692	0	0.986181081215596	0.48754786964283	3.43837373365888
