Mixture	Macrophage/Monocyte	Ovarian carcinoma cell	Cancer associated fibroblast	B cell	T cell regulatory (Tregs)	Plasmacytoid dendritic cell	Endothelial cell	NK cell	Melanoma cell	T cell CD4+ (non-regulatory)	T cell CD8+	P-value	Correlation	RMSE	Absolute score (sig.score)
value...1	0	0	0.0437562083026833	0.427062890912447	0.413944133615612	0	0.0439912081505931	0	0.750029733063856	0.344961237316431	0.608599730784263	0	0.821529790057778	0.650015805644691	2.63234514214588
value...2	0.0928208211771296	0	0.0461513754972526	0.318623220776937	0.481375334828845	0	0.298445589478615	0	0.652745586199056	0.443186344123673	0.376811816240411	0	0.784662183015036	0.699117348935352	2.71016008832192
value...3	0	0	0.271590996315401	0.226994632818124	0.540580705685914	0	0.221420053521519	0	0.0252601617723716	0.356558833485588	1.10728869139331	0	0.831596658262463	0.617650823969941	2.74969407499222
value...4	0.0860890778242662	0	0	0.268375838005756	0.418009203787028	0.00493291027300261	0.116376873721857	0	0.979284077755049	0.258762648910321	0.528038422408689	0	0.779051759326539	0.678210755304978	2.65986905268597
value...5	0	0	0.153702570357469	0.36274908608482	0.28629166802115	0	0.318632472162432	0	0.868879661893732	0.343199537606927	0.365171502409819	0	0.758863315990964	0.707477169770539	2.69862649853635
value...6	0.0467731652022065	0	0.435558151281921	0.548376936939091	0.274995742978552	0	0.366783931077669	0	0.296523642917996	0.173398826587142	0.652973592132827	0	0.76041932515071	0.70368270504467	2.7953839891174
value...7	0	0	0.263010490566143	0.161427728123114	0.237885128920616	0	0.0707147458121257	0	1.36878881151433	0.13722535886815	0.451089554868957	0	0.722910317558259	0.701161448687964	2.69014181867344
value...8	0	0	0.169973663807632	0.226454239641391	0.152586493055655	0	0.0467064181860326	0	1.68301961824704	0.179672260867321	0.165148385728104	0	0.727142028836077	0.687815096089592	2.62356107953317
value...9	0.123914352824511	0	0.128193897204545	0.245153449596467	0.349908030713603	0	0.181142892238536	0	0.980525252337365	0.313752901195777	0.353715941813878	0	0.733827495712496	0.716654629836613	2.67630671792468
value...10	0	0	0.0740373733991071	0.247845728310252	0.294042410404961	0.00334142661951141	0.163862517939596	0	1.15189371319697	0.295426254596443	0.419135344654376	0	0.765593392679846	0.681381133128613	2.64958476912121
value...11	0.0989933780735318	0	0.133113778063821	0.104811294954476	0.213649470021497	0	0.394650591927896	0	1.13645548099253	0.330483729067874	0.312294349107844	0	0.726049797670843	0.714632923191143	2.72445207220947
value...12	0	0	0.118675602656441	0.183291149297512	0.0719175544778169	0	0.145116868233419	0	1.9194115529804	0.0838303865794771	0.102236506311088	0	0.7286037011427	0.685911411689495	2.62447962053616
value...13	0.00200227851373119	0	0	0.148774786319074	0.110586766117803	0	0.0555208603224108	0	2.06446882322385	0.0912911490022792	0.113371608556338	0	0.72708838130377	0.692297387919373	2.58601627205548
value...14	0	0	0.150017452577152	0.430386373467623	0.30480464711876	0	0.268401468605824	0	0.651022120470647	0.27304806465076	0.647581360892598	0	0.810983720206902	0.673608085576162	2.72526148778336
value...15	0	0	0.0720389348407083	0.184716106254946	0.208591017550266	0.00346304221235572	0.154125254144768	0	1.56340380718403	0.165688728831654	0.298869700728916	0	0.730714965380955	0.688496834727586	2.65089659174765
value...16	0	0	0.506987296307609	0.362252219773607	0.16080960225997	0	0.462024517974097	0	0.748089880534236	0.279229113555602	0.258625874712508	0	0.712859887775829	0.727392607739421	2.77801850511763
value...17	0.0608773257346674	0	0.137434238523423	0.366284315301878	0.615168737492184	0	0.32999649670241	0	0.0832558809082237	0.432407115637836	0.756984445663571	0	0.829708286156696	0.642853217813284	2.78240855596419
value...18	0	0	0.00742271688530984	0.0210976793315247	0.0314408355519114	0	0.0541005303426384	0	2.35653569896134	0.0389340960647468	0.0711348708530258	0	0.742118993068473	0.694576675477654	2.5806664279905
value...19	0.116392874701684	0	0.365695098083659	0.459778912067219	0.625860732695379	0	0.116259827964477	0	0.10564542852594	0.343358158938334	0.616724744865028	0	0.772136522396004	0.68647213053093	2.74971577784172
value...20	0.0280480571509221	0	0.145645935166057	0.423397398936712	0.602825034365434	0	0.270902694958647	0	0.440482099284166	0.452258917191376	0.345696609212063	0	0.812696656396903	0.680951229811876	2.70925674626538
value...21	0	0	0.0016847012549057	0.0329100770558205	0.0342516344198155	0	0.108952987996733	0	2.25844339697404	0.0724497003108732	0.0862168511250383	0	0.735717643678518	0.693343453632744	2.59490934913723
value...22	0.123821646435278	0	0.101039261592393	0.140917643348671	0.680824129043528	0	0.270386785416772	0	0.361377805329671	0.284433193656071	0.798646648618287	0	0.812406577824953	0.659570674796584	2.76144711344067
value...23	0.0119783057313918	0	0.0293943335424261	0.552630846034033	0.265411115672309	0	0.299632518650019	0	1.08756414824601	0.162246573195383	0.240858262024755	0	0.746915187333202	0.703111419934434	2.64971610309633
value...24	0.0250035592258244	0	0.0667081051315371	1.15500915374431	0.491462970710201	0.000180339141564678	0.100215909600853	0	0.0386117014482142	0.198694584074498	0.646396356222592	0	0.862234862102359	0.591356464873791	2.72228267929959
value...25	0.11796693990114	0	0.0936957263466707	0.582952331374978	0.189099108788291	0.00189190034778715	0.148204453107606	0	1.02561991282672	0.134765832025718	0.399159242720723	0	0.741914179426938	0.708517463626098	2.69335544743964
value...26	0.00182353525248481	0	0.0799591246111209	0.124908675166663	0.516755822552328	0	0.296418714036408	0	0.272397328491975	0.680005327685164	0.730418521585693	0	0.840477113343623	0.639662958634026	2.70268704938184
value...27	0	0	0.0312633345070639	0.131108998300699	0.213652388192521	0	0.17648979690138	0	1.32086673393196	0.28203795253726	0.497324326316356	0	0.758987018781313	0.674569318550913	2.65274353068724
value...28	0.0400782037774103	0	0.246463269732104	0.374572081643283	0.0734233290391251	0.00828366641661342	0.240947105247944	0	1.37221652155003	0.208891746995007	0.132905285019953	0	0.711750113234864	0.712237697621522	2.69778120942147
value...29	0	0	0.218498609590317	0.0687291439640419	0.250770565322048	0	0.112680668488554	0	1.25379858787116	0.286732432467517	0.478709074989333	0	0.73588575429829	0.69579702340997	2.66991908269298
value...30	0.056589058598416	0	0.0870384153974418	0.444342657122858	0.558983593713735	0	0.407694154513179	0	0.114459239093683	0.670740570112379	0.373382055581182	0	0.816361935075439	0.6717054956079	2.71322974413287
value...31	0.0728145735401727	0	0.0497874602983303	0.458199359149007	0.413194729238222	0	0.411561577140887	0	0.240267529600521	0.457341428467764	0.623401810643599	0	0.813956347068351	0.673788647294825	2.7265684680785
value...32	0.0868799917203566	0	0.115472104370129	0.361310042354114	0.514094250658146	0	0.285741472043632	0	0.619167374279596	0.356361730262293	0.382771349628304	0	0.777994511538331	0.703836352210374	2.72179831531657
value...33	0.0676111044205244	0	0	0.199454883153201	0.353429370784376	0	0.168827492447439	0	1.2382283708291	0.249090727572619	0.374429708712534	0	0.744524090780935	0.69303895633055	2.65107165791979
value...34	0.106322319631197	0	0.393543103796822	0.46130559836745	0.488345323097577	0	0.487305059452907	0	0.0730403958666294	0.220046573945355	0.614745370975959	0	0.749601638836412	0.707625638285934	2.8446537451339
