
sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	otherCells
value...1	0	0.0711	0.12	0.0875	0.0656	0.0884	0	0.5674
value...2	0	0.0727	0.0367	0.0158	0.0432	0	0	0.8316
value...3	0	0.0552	0.1161	0.0809	0.0457	0.063	0	0.6392
value...4	0.0025	0.1112	0.0375	0.0625	0.0764	0.0615	0	0.6485
value...5	0.0024	0.1196	0.0585	0.0727	0.0558	0.0943	0	0.5967
value...6	0.0166	0.1799	0.0992	0.0442	0.0443	0.0855	0.0078	0.5224
value...7	0.0051	0.102	0.1166	0.0497	0.1318	0.1147	0.0024	0.4777
value...8	0.0035	0.1339	0.0588	0.0689	0.088	0.0584	0	0.5884
value...9	0	0.0982	0.0953	0.049	0.0727	0.0304	0	0.6545
value...10	0	0.0955	0.0585	0.0454	0.0556	0.0131	0	0.7319
value...11	0.0102	0.1349	0.0892	0.0611	0.0632	0.0883	0	0.5531
value...12	0	0.1004	0.1192	0.033	0.0648	0.0444	0	0.6382
value...13	0.0165	0.0487	0.1499	0.0766	0.0473	0.1557	0	0.5052
value...14	0	0.0986	0.0914	0.0519	0.0517	0.0538	0	0.6526
value...15	0.0168	0.1042	0.1141	0.0586	0.0945	0.078	9e-04	0.5329
value...16	0.0219	0.0704	0.1756	0.042	0.0323	0.1168	0	0.541
value...17	0.0072	0.0689	0.1217	0.0503	0.061	0.0954	0	0.5955
value...18	0.0099	0.039	0.1577	0.0773	0.0384	0.108	0	0.5698
value...19	0.0024	0.0907	0.102	0.0416	0.1543	0.0875	0	0.5213
value...20	0.0069	0.0787	0.1656	0.0386	0.0915	0.0725	0	0.5463
value...21	0.001	0.1125	0.0543	0.0289	0.0642	0.0173	0	0.7218
value...22	0.011	0.0587	0.1422	0.1178	0.0339	0.1317	0	0.5047
value...23	0.0136	0.0727	0.1085	0.076	0.0765	0.1013	4e-04	0.5511
value...24	0.0015	0.0797	0.0537	0.0243	0.0707	0	0	0.7701
value...25	8e-04	0.0595	0.1041	0.077	0.0485	0.0912	0	0.6189
value...26	0	0.0632	0.0315	0.0535	0.0838	0.061	0	0.707
value...27	1e-04	0.0506	0.067	0.0825	0.1026	0.0506	0	0.6466
value...28	0.0116	0.0973	0.0598	0.046	0.0731	0.0235	0	0.6887
value...29	0.0075	0.0502	0.0545	0.0612	0.0899	0.0598	0	0.677
value...30	0.0084	0.0732	0.0435	0.0676	0.1132	0.0795	0	0.6146
value...31	0.0093	0.1456	0.1184	0.0361	0.0576	0.0771	0	0.5558
value...32	0	0.0822	0.042	0.0406	0.0737	0.0158	0	0.7457
value...33	0.0131	0.1233	0.1306	0.0357	0.0514	0.103	0.0014	0.5415
value...34	0	0.0735	0.0554	0.0216	0.0641	0	0	0.7854
value...35	0	0.164	0.0711	0.1173	0.0222	0.105	0	0.5205
value...36	0	0.0555	0.1161	0.0832	0.0902	0.0586	0	0.5964
value...37	0.008	0.094	0.0943	0.0724	0.0748	0.0603	0	0.5962
value...38	0.0073	0.0967	0.0468	0.046	0.0548	0.0359	0	0.7125
value...39	0.0108	0.0987	0.0424	0.1465	0.073	0.0907	0	0.538
value...40	0.0151	0.0543	0.099	0.0774	0.113	0.1225	0	0.5186
value...41	1e-04	0.065	0.067	0.033	0.0639	0.0065	0	0.7643
value...42	0.0062	0.0785	0.0708	0.0759	0.0718	0.0581	0	0.6388
value...43	0	0.0744	0.0639	0.0307	0.0527	5e-04	0	0.7778
value...44	0.0043	0.11	0.0704	0.0219	0.0864	0.0376	0	0.6694
value...45	0	0.0687	0.0492	0.0764	0.1011	0.0783	0	0.6263
value...46	0.0104	0.0502	0.0663	0.0813	0.0634	0.0794	0	0.6491
value...47	0	0.0381	0.1421	0.0807	0.138	0.0764	0	0.5246
value...48	0	0.0675	0.0557	0.0253	0.0745	0.0132	0	0.7639
value...49	0	0.0777	0.0748	0.0407	0.0722	0.0207	0	0.7139
value...50	0.0037	0.0983	0.0428	0.0391	0.0686	0.0101	0	0.7375
value...51	0.012	0.0415	0.1315	0.0447	0.1294	0.1099	0	0.5309
value...52	0.0145	0.0994	0.0717	0.0693	0.0463	0.1343	0	0.5646
value...53	0.0021	0.1071	0.0542	0.0271	0.0981	0.0151	0	0.6962
value...54	0.0023	0.1141	0.1058	0.0457	0.0382	0.0138	0	0.6802
value...55	0.0049	0.0613	0.1449	0.1197	0.0863	0.0478	0	0.5351
value...56	0.002	0.0522	0.14	0.0713	0.0927	0.0641	0	0.5777
value...57	0	0.0826	0.0473	0.0371	0.0748	0.0488	0	0.7093
value...58	0.0139	0.1492	0.0648	0.0401	0.0989	0.1091	0	0.5241
value...59	0.0037	0.0737	0.0444	0.1399	0.1076	0.0667	0	0.564
value...60	0.002	0.0787	0.112	0.0742	0.0322	0.0356	0	0.6653
value...61	0	0.0695	0.0402	0.0145	0.0452	0	0	0.8306
value...62	0.0015	0.102	0.0629	0.0404	0.067	0.0443	0	0.6818
value...63	0.0215	0.0822	0.0471	0.1051	0.0651	0.1249	0	0.5541
value...64	0.008	0.0726	0.1235	0.0564	0.0746	0.0645	0	0.6003
value...65	0	0.1025	0.0735	0.0322	0.0635	0.011	0	0.7172
value...66	0.0033	0.1232	0.0578	0.0418	0.0862	0.0161	0	0.6716
value...67	0.0035	0.1196	0.0771	0.0589	0.0471	0.0358	0	0.658
value...68	0.0024	0.0997	0.0554	0.0435	0.0866	0.0378	0	0.6748
value...69	0	0.1023	0.0725	0.0166	0.0828	0.0205	0	0.7052
value...70	0.0086	0.0531	0.1255	0.0667	0.0506	0.0859	0.0056	0.604
value...71	0.015	0.1121	0.1232	0.0646	0.0671	0.0846	0	0.5334
value...72	0.0058	0.0651	0.0753	0.0738	0.0822	0.1045	0	0.5933
value...73	0.0049	0.1206	0.0803	0.0316	0.0708	0.0161	0	0.6757
value...74	0.0062	0.0983	0.0563	0.0621	0.0435	0.0911	0	0.6425
value...75	0.0284	0.131	0.092	0.0723	0.0393	0.0834	0	0.5538
value...76	0.006	0.1259	0.1276	0.0928	0.0203	0.0823	0	0.545
value...77	0	0.108	0.0979	0.0651	0.0736	0.0687	0	0.5867
value...78	0.0031	0.0835	0.0859	0.044	0.0569	0.0463	0	0.6803
value...79	0.0106	0.0889	0.1199	0.0504	0.0712	0.0753	0	0.5837
value...80	0.0186	0.1314	0.0543	0.0875	0.0996	0.0483	0	0.5603
value...81	0.0079	0.1361	0.0992	0.0958	0.0774	0.0736	0	0.51
value...82	0.0081	0.1241	0.0703	0.063	0.1312	0.0875	0	0.5157
value...83	3e-04	0.1178	0.082	0.1004	0.0884	0.1148	0	0.4964
value...84	0.0194	0.0622	0.1329	0.0625	0.1022	0.149	0	0.4718
value...85	0.006	0.0874	0.0416	0.0558	0.0555	0.0456	0	0.7081
value...86	0.0082	0.0919	0.1294	0.0681	0.0597	0.0619	0	0.5807
value...87	0.007	0.1156	0.1258	0.0556	0.099	0.058	0	0.5389
value...88	0.0212	0.1388	0.1352	0.0284	0.0399	0.1653	4e-04	0.4708
value...89	0.0166	0.021	0.0907	0.0765	0.101	0.2062	0	0.488
value...90	0.01	0.074	0.0944	0.0428	0.0766	0.0569	0	0.6453
value...91	0	0.0265	0.0203	0.1305	0.1584	0.1569	0	0.5073
value...92	0	0.0866	0.0402	0.0209	0.0568	0	0	0.7955
value...93	0.0056	0.1418	0.1485	0.056	0.0584	0.0997	0.0027	0.4875
value...94	0.0074	0.1461	0.0633	0.1013	0.0551	0.1081	0	0.5186
value...95	0.0097	0.1659	0.1385	0.0487	0.0477	0.1341	0	0.4554
value...96	0.0104	0.077	0.0957	0.0475	0.0857	0.0867	0	0.5971
value...97	0.0054	0.0528	0.0371	0.1239	0.1109	0.1036	0	0.5663
value...98	0.0052	0.1965	0.0488	0.0592	0.0624	0.0818	0.0038	0.5423
