
sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	otherCells
value...1	0	0.0353	0.0272	0.1438	0.0119	0.0913	0.0846	0.606
value...2	0.0169	0.0214	0.0156	0.2003	0.0044	0.1003	0.0779	0.5632
value...3	0.002	0.0521	0.0316	0.0527	0.0428	0.035	0	0.7839
value...4	0.0017	0.0612	0.0404	0.0495	0.0314	0.0385	0	0.7774
value...5	0	0.0578	0.0381	0.0516	0.0524	0.0262	8e-04	0.7732
value...6	0.0096	0.0443	0.0339	0.0737	0.0451	0.108	0	0.6854
value...7	0	0.0738	0.0394	0.0901	0.0141	0.0492	0.0752	0.6582
value...8	0	0.0414	0.033	0.0982	0.0317	0.1086	0.0267	0.6605
value...9	0	0.0626	0.0441	0.0301	0.0443	0.0036	0	0.8152
value...10	3e-04	0.0433	0.0306	0.0847	0.0483	0.0411	0.0083	0.7432
value...11	0.0081	0.0522	0.0381	0.1177	0.0306	0.0984	0.0323	0.6226
value...12	0.0034	0.0441	0.0347	0.0997	0.0243	0.0762	0.0198	0.6977
value...13	0	0.0644	0.0424	0.0834	0.0366	0.0664	0	0.7069
value...14	0	0.0382	0.0277	0.1044	0.0324	0.1044	0.0341	0.6589
value...15	0	0.0556	0.0302	0.1835	0.0026	0.072	0.0678	0.5883
value...16	0.0057	0.0554	0.032	0.0748	0.0352	0.0679	0.0347	0.6945
value...17	0	0.0411	0.0215	0.2026	0.0026	0.1401	0.1262	0.466
value...18	0	0.034	0.0242	0.142	0	0.1579	0.118	0.5239
value...19	0	0.0528	0.032	0.1112	0.0195	0.1252	0.0589	0.6004
value...20	0.0129	0.0383	0.0312	0.0591	0.0218	0.0919	0	0.7447
value...21	0.0174	0.0307	0.0243	0.097	0.0243	0.0848	0.053	0.6685
value...22	0	0.0243	0.0172	0.191	0.0092	0.161	0.029	0.5683
value...23	0	0.0538	0.0344	0.0547	0.0527	0.0193	0	0.7851
value...24	0	0.0543	0.0305	0.0691	0.0329	0.0347	0	0.7785
value...25	0	0.0674	0.0442	0.0371	0.0334	0.0296	0	0.7882
value...26	0.031	0.0414	0.0331	0.1772	0.0152	0.0695	0.0063	0.6263
value...27	0	0.0407	0.0304	0.129	0.0305	0.0915	0.0398	0.638
value...28	0.0071	0.0548	0.0326	0.0646	0.0375	0.0608	0.0214	0.7211
value...29	0.0117	0.0473	0.0332	0.0415	0.0297	0.0565	0	0.7802
value...30	0	0.0632	0.0454	0.0381	0.039	0.023	0	0.7914
value...31	0	0.0383	0.0288	0.1464	0.0083	0.0966	0.0792	0.6024
value...32	0.0069	0.0581	0.0472	0.1175	0.0222	0.06	0.0293	0.6587
value...33	0	0.049	0.0327	0.0735	0.0473	0.0786	0.0016	0.7174
value...34	0	0.0536	0.0344	0.0532	0.0425	0.0381	0	0.7781
value...35	0	0.0465	0.0325	0.1087	0.0363	0.1007	0.0064	0.6689
value...36	0.0129	0.0406	0.0242	0.0986	0.0341	0.0699	0.0318	0.688
value...37	0	0.0667	0.044	0.0217	0.0309	0	0	0.8367
value...38	0	0.0371	0.033	0.0974	0.028	0.0621	0.0392	0.7034
value...39	0	0.0314	0.0298	0.1233	0.0301	0.085	0.038	0.6624
value...40	0.0039	0.0553	0.0401	0.0807	0.0403	0.092	2e-04	0.6875
value...41	0.0134	0.0547	0.0409	0.1192	0.0113	0.0557	0.055	0.6499
value...42	4e-04	0.0641	0.0376	0.0412	0.037	0.0128	0	0.8071
value...43	0.0092	0.053	0.0328	0.0634	0.0469	0.0644	0.0244	0.7058
value...44	0.0041	0.0573	0.0308	0.0574	0.038	0.0786	0.002	0.7318
value...45	0	0.0564	0.0354	0.1348	0.0256	0.0446	0.0692	0.6341
value...46	0	0.0432	0.0272	0.1026	0.0379	0.0872	0.0053	0.6966
value...47	0.0124	0.0693	0.0456	0.1309	0.0046	0.1021	0.0752	0.5599
value...48	6e-04	0.0497	0.0364	0.0811	0.0467	0.0133	0.0318	0.7405
value...49	0	0.0473	0.0297	0.0989	0.0366	0.0744	0.0333	0.6798
value...50	0	0.0613	0.0416	0.0349	0.0376	0	0	0.8246
value...51	0.0243	0.0299	0.02	0.1508	0.0034	0.1643	0.068	0.5392
value...52	0	0.0509	0.0355	0.0442	0.0512	0.0439	0.0104	0.7639
value...53	0.0011	0.0427	0.0274	0.1831	0.0069	0.0958	0.0498	0.5932
value...54	0	0.04	0.0231	0.1345	0.0259	0.1073	0.0492	0.6199
value...55	0	0.0648	0.0425	0.0553	0.0312	0.0356	0	0.7705
value...56	0.0064	0.0464	0.0176	0.1432	0.0289	0.1497	0	0.6078
value...57	0	0.0639	0.026	0.1324	0.0281	0.135	0.0193	0.5954
value...58	0.0115	0.0454	0.0308	0.0759	0.0282	0.0769	0.031	0.7003
value...59	0	0.0645	0.0395	0.0928	0.0448	0.0549	0.0078	0.6957
value...60	0.0103	0.0654	0.0408	0.0688	0.0444	0.0665	0.0021	0.7017
value...61	0	0.0652	0.0401	0.0466	0.0318	0.0152	0	0.8011
value...62	0.0058	0.0455	0.0295	0.056	0.0492	0.0397	0.02	0.7543
value...63	0	0.0543	0.038	0.0553	0.0374	0.0206	0	0.7944
value...64	0.0034	0.0672	0.041	0.1489	0.0011	0.1317	0.0849	0.5218
value...65	0	0.0486	0.0371	0.0637	0.0494	0.053	0.0053	0.7428
value...66	0.007	0.0657	0.0494	0.1102	0.0305	0.038	0.0108	0.6884
value...67	0.0014	0.063	0.0443	0.1071	0.0267	0.0672	0.0245	0.6658
value...68	3e-04	0.0537	0.0315	0.2229	0.0046	0.1647	0.0422	0.4801
value...69	0.0071	0.0599	0.0346	0.1655	0.0043	0.1269	0.1107	0.4911
value...70	0	0.0662	0.0245	0.1684	0.0022	0.1031	0.0736	0.5621
value...71	0	0.067	0.0396	0.0511	0.0454	0.0697	0	0.7272
value...72	0	0.0628	0.0382	0.099	0.0309	0.0706	0	0.6984
value...73	0.0012	0.0445	0.0407	0.0735	0.0342	0.0706	0.0234	0.712
value...74	0.0027	0.0504	0.0322	0.1018	0.0436	0.0594	0.0043	0.7057
value...75	0	0.0262	0.0164	0.1387	0.0037	0.2102	0.103	0.5018
value...76	0.0036	0.055	0.0321	0.0727	0.0504	0.0448	0.0122	0.7292
value...77	0	0.0467	0.0324	0.1	0.0424	0.0336	0	0.7449
value...78	0	0.0558	0.0412	0.0999	0.0191	0.0478	0.0397	0.6964
value...79	0	0.0537	0.0321	0.0775	0.0385	0.0443	0.0267	0.7273
value...80	0.0155	0.0599	0.0376	0.0787	0.0261	0.1103	0	0.672
value...81	0.0023	0.0196	0.021	0.1622	0.003	0.1692	0.1052	0.5175
value...82	0.0298	0.0693	0.037	0.1727	0.0032	0.1056	0.0468	0.5356
value...83	0.0019	0.0671	0.0379	0.2024	0.0014	0.1555	0.0112	0.5225
value...84	0.0138	0.0641	0.0358	0.1076	0.0069	0.1519	0.1012	0.5187
value...85	4e-04	0.0305	0.0171	0.1566	0.0177	0.1378	0.0393	0.6007
value...86	0	0.0545	0.0466	0.0786	0.0494	0.0204	0	0.7504
value...87	0.0051	0.0182	0.0135	0.1658	9e-04	0.1477	0.1268	0.522
value...88	0	0.0466	0.0271	0.1488	0.0216	0.1502	0.0572	0.5486
value...89	0	0.0573	0.036	0.0685	0.0437	0.0312	0.023	0.7403
value...90	0.0044	0.0353	0.0252	0.1095	0.0229	0.1295	0.0027	0.6706
value...91	0.0044	0.0502	0.0335	0.0427	0.0445	0.0689	0.0346	0.7213
value...92	0.0094	0.0538	0.0405	0.0789	0.0256	0.1528	0.0218	0.6172
value...93	0	0.0556	0.0375	0.0839	0.0324	0.0765	0	0.7142
value...94	0	0.0507	0.0347	0.0675	0.0469	0.0777	0.0082	0.7142
value...95	0	0.0728	0.0347	0.1448	0.0189	0.0967	0.0639	0.5681
value...96	0	0.0477	0.0314	0.1073	0.0316	0.1107	0.0178	0.6536
value...97	0.0242	0.0592	0.0356	0.1329	0.0131	0.0961	0.0648	0.574
value...98	0.0066	0.0432	0.0316	0.0517	0.04	0.0903	0	0.7366
value...99	0	0.048	0.0353	0.0918	0.0388	0.0515	0.0366	0.698
value...100	0	0.0387	0.0262	0.1295	0.0261	0.0895	0.0288	0.6613
