
sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	otherCells
value...1	0.0173	0.1274	0.0897	0.1101	0	0.0454	0.0467	0.5634
value...2	0.0394	0.0771	0.0629	0.1252	0	0.0627	0.0611	0.5715
value...3	0.0146	0.0879	0.0738	0.1971	0	0.0524	0.0269	0.5474
value...4	0.0489	0.1346	0.0557	0.1609	0	0.0455	0.0375	0.517
value...5	0.0362	0.0574	0.0559	0.1933	0.0017	0.048	0.0069	0.6006
value...6	0.0184	0.1478	0.0851	0.1496	0	0.0166	0.0315	0.5509
value...7	0.0241	0.0989	0.0255	0.1719	0.0076	0.0622	0.0323	0.5775
value...8	0.0527	0.0555	0.037	0.1787	0.0069	0.0362	0.0577	0.5753
value...9	0.0368	0.041	0.0718	0.1151	0.0113	0.0459	0.0254	0.6526
value...10	0.0233	0.1263	0.0405	0.1461	0.0029	0.0452	0.0208	0.595
value...11	0.0168	0.1776	0.0652	0.1587	0	0.0218	0.0157	0.5442
value...12	0.0369	0.1321	0.0629	0.1534	0	0.0484	0.0319	0.5345
value...13	0.0178	0.0723	0.0192	0.1981	0.0026	0.0453	0.005	0.6397
value...14	0.0268	0.1249	0.0608	0.1666	0	0.0239	0.0257	0.5714
value...15	0.0281	0.1203	0.0177	0.1878	0.0163	0.046	0.0206	0.5632
value...16	0.0349	0.0723	0.0502	0.2436	0	0.0435	0.0121	0.5434
value...17	0.022	0.0476	0.103	0.1356	0.0215	0.047	0.0263	0.597
value...18	0.048	0.062	0.0172	0.1296	0	0.0569	0.0552	0.6311
value...19	0.0401	0.0943	0.0172	0.1999	0	0.036	0.0112	0.6013
value...20	0.0301	0.0603	0.066	0.2047	0	0.0212	0.041	0.5767
value...21	0.0417	0.0603	0.0228	0.214	0	0.0218	0.0401	0.5993
value...22	0.0121	0.1547	0.0893	0.1675	0	0.0186	0.0374	0.5204
value...23	0.0497	0.0384	0.0259	0.1891	0.0021	0.0368	0.0435	0.6145
value...24	0.0446	0.1022	0.0288	0.1284	0.0025	0.0431	0.0429	0.6075
value...25	0.0538	0.0583	0.0394	0.1891	0	0.0297	0.0453	0.5844
value...26	0.0427	0.0626	0.0801	0.1379	0.0075	0.05	0.016	0.6031
value...27	0.0451	0.115	0.0601	0.1408	0.018	0.0398	0.0072	0.5741
value...28	0.0331	0.0534	0.0314	0.1617	0	0.0353	0.0474	0.6377
value...29	0.0452	0.0567	0.0907	0.1805	0.0024	0.0327	0.0301	0.5617
value...30	0.0145	0.1101	0.0515	0.1554	0	0.0381	0.0427	0.5876
value...31	0.0269	0.1239	0.0726	0.1377	0	0.038	0.0478	0.5532
value...32	0.0407	0.1692	0.0211	0.1454	0.0095	0.0281	0.0585	0.5275
value...33	0.034	0.1876	0.0414	0.2298	0	0.0287	0.0055	0.4731
value...34	0.0304	0.1284	0.0525	0.2055	0	0.0243	0.0276	0.5313
value...35	0.0398	0.1019	0.0608	0.162	0	0.0407	0.0096	0.5852
value...36	0.0368	0.0764	0.0517	0.1321	0.003	0.0371	0.0144	0.6484
value...37	0.0283	0.0557	0.0444	0.1511	0	0.0404	0.0443	0.6359
value...38	0.0183	0.1257	0.0446	0.1276	0	0.035	0.0354	0.6133
value...39	0.0272	0.1117	0.0595	0.1368	0.0083	0.0372	0.0223	0.5969
value...40	0.0139	0.1507	0.0583	0.1316	0.0018	0.0359	0.0262	0.5817
value...41	0.0324	0.114	0.0684	0.2119	0	0.0153	0.0237	0.5342
value...42	0.0178	0.1366	0.0728	0.1256	0.0098	0.0286	0.0412	0.5675
value...43	0.033	0.0723	0.0577	0.1919	0	0.0216	0.0568	0.5668
value...44	0.0322	0.0645	0.0257	0.1829	0.0041	0.017	0.0478	0.6258
value...45	0.0262	0.1279	0.0761	0.1281	0.0066	0.0331	0.0562	0.5457
value...46	0.0203	0.0915	0.0607	0.1662	0.0024	0.0498	0.0053	0.6037
value...47	0.0232	0.0495	0.0676	0.1929	0	0.0275	0.0512	0.588
value...48	0.044	0.0676	0.0224	0.1857	0.011	0.0328	0.0493	0.5872
value...49	0.0301	0.1594	0.0911	0.1011	0	0.0368	0.02	0.5616
value...50	0.0293	0.0733	0.074	0.2017	0	0.0312	0.0312	0.5594
value...51	0.0234	0.1201	0.0698	0.1438	0.0033	0.0201	0.0771	0.5424
value...52	0.0292	0.0485	0.0306	0.2026	0	0.0472	0.0387	0.6032
value...53	0.03	0.1423	0.0477	0.1423	0	0.0361	0.0277	0.574
value...54	0.0186	0.0609	0.0357	0.1589	0.0076	0.0334	0.0556	0.6294
value...55	0.0148	0.1377	0.0398	0.1923	0	0.0392	0.0266	0.5495
value...56	0.0331	0.1276	0.0752	0.1297	0	0.0216	0.0416	0.5713
value...57	0.043	0.077	0.0481	0.1886	0.0094	0.047	0.0261	0.5609
value...58	0.0228	0.1282	0.0476	0.143	0	0.0285	0.0158	0.614
value...59	0.029	0.0463	0.0344	0.2229	0	0.0482	0.0219	0.5973
value...60	0.0198	0.0572	0.0772	0.1225	0.009	0.0413	0.0424	0.6306
value...61	0.0288	0.1488	0.0282	0.1879	0	0.0194	0.0202	0.5666
value...62	0.0219	0.1028	0.0363	0.1951	0	0.0282	0.0328	0.5828
value...63	0.0276	0.0962	0.0775	0.1264	0	0.0498	0.0342	0.5883
value...64	0.0219	0.216	0.0612	0.144	0	0.0264	0.0022	0.5283
value...65	0.0213	0.0383	0.0286	0.1703	0.0011	0.0525	0.009	0.6789
value...66	0.0239	0.0778	0.0822	0.1513	0	0.0392	0.0304	0.5952
value...67	0.0572	0.0409	0.0296	0.1411	0	0.0567	0.0729	0.6016
value...68	0.0379	0.09	0.0205	0.1597	0.0091	0.048	0.016	0.6188
value...69	0.0281	0.129	0.0876	0.1635	0	0.0135	0.0453	0.5331
value...70	0.0254	0.0331	0.071	0.1846	0	0.0212	0.026	0.6387
value...71	0.0339	0.1427	0.0853	0.1509	9e-04	0.0442	0.0343	0.5079
value...72	0.0308	0.1327	0.0197	0.1365	0.0149	0.0503	0.033	0.5821
value...73	0.0389	0.1223	0.0108	0.1973	0	0.0374	0.0163	0.5771
value...74	0.0599	0.0813	0.036	0.1341	0	0.0354	0.046	0.6074
value...75	0.0375	0.1359	0.0563	0.1221	0.0091	0.0391	0.0083	0.5917
value...76	0.0359	0.1018	0.0664	0.1649	0	0.0229	0.0384	0.5697
value...77	0.04	0.1078	0.0232	0.2295	0	0.0436	0.0334	0.5224
value...78	0.0277	0.1088	0.0242	0.1831	0.0066	0.0485	0.0173	0.5837
value...79	0.0351	0.071	0.0191	0.1993	0	0.0209	0.015	0.6397
value...80	0.0209	0.0789	0.0677	0.1327	0.0103	0.0422	0.0203	0.627
value...81	0.0351	0.0631	0.069	0.1859	0	0.043	0.0286	0.5753
value...82	0.0593	0.0936	0.0112	0.1797	0	0.033	0.0585	0.5647
value...83	0.0238	0.098	0.0643	0.1579	0	0.0445	0.0412	0.5704
value...84	0.0472	0.0608	0.0701	0.1275	0.0085	0.0672	0.0045	0.6142
value...85	0.0174	0.0783	0.0979	0.1292	0	0.059	0.0179	0.6003
value...86	0.0502	0.0818	0.0877	0.1288	0.0025	0.0223	0.0298	0.5969
value...87	0.0353	0.1274	0.0263	0.182	0	0.0154	0.033	0.5806
value...88	0.0191	0.1526	0.072	0.2471	0	0.0203	0.0113	0.4776
value...89	0.0304	0.0637	0.0556	0.1823	0	0.0373	0.0282	0.6024
value...90	0.0375	0.1074	0.0337	0.1586	0.0137	0.0311	0.0651	0.5529
