
sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	Malignant	otherCells
value...1	0.0104	0.0572	0.0169	0.049	0	1e-04	0.1257	0.1297	0.611
value...2	0.0289	0.2082	0.0074	0.0497	0	0	0.1453	0.0534	0.5071
value...3	0.0048	0.0665	0.0367	0.0359	0	0	0.0192	0.0942	0.7428
value...4	0.015	0	0.0311	0.0538	0	0.0174	0.0085	0.1085	0.7658
value...5	0.0119	0.0431	0.0335	0.0128	0	0	0.0364	0.0932	0.769
value...6	0.029	0.0456	0.0208	0.0633	0	0	0.061	0.0188	0.7615
value...7	0.0291	0.0906	0.027	0.0331	0	0	0.0925	0.0266	0.7012
value...8	0.0103	0.1227	0.0238	0.0637	0	0	0.0581	0.1819	0.5395
value...9	0.005	0.0389	0.0372	0.0167	0	0	0.0159	0.0942	0.7921
value...10	0.0147	0.0611	0.0272	0.0325	0	0	0.0435	0.1532	0.6678
value...11	0.0306	0.0474	0.0175	0.034	0	0	0.0973	0.0419	0.7313
value...12	0.0177	0.0866	0.0178	0.0554	0	0	0.0604	0.0811	0.6808
value...13	0.0185	0.0608	0.0243	0.0643	0	0	0.0591	0.0547	0.7182
value...14	0.0104	0.084	0.024	0.051	0	0	0.0681	0.1303	0.632
value...15	0.0324	0.073	0.0183	0.0691	0	0	0.1377	0.1755	0.4939
value...16	0.0138	0.1186	0.022	0.038	0	0	0.0602	0.1117	0.6357
value...17	0.0476	0.0333	5e-04	0.1008	0	0	0.173	0.2159	0.429
value...18	0.0124	0.1129	0.0107	0.0824	0	0	0.1015	0.1606	0.5196
value...19	0.0178	0.161	0.0119	0.0739	0	0	0.0904	0.163	0.4821
value...20	0.0123	0.215	0.0222	0.0557	0	0	0.0298	0.1655	0.4996
value...21	0.0142	0.1219	0.0221	0.0652	0	8e-04	0.0362	0.0922	0.6476
value...22	0.0212	0.1918	0.0066	0.1334	0	0	0.1041	0.1989	0.3441
value...23	0.0098	0.1231	0.0321	0.0247	0	0	0.0395	0.1245	0.6463
value...24	0.0083	0.0646	0.031	0.043	0	0	0.0436	0.0968	0.7127
value...25	0.0103	0.0733	0.0326	0.0259	0	0	0.0206	0.0987	0.7386
value...26	0.0375	0.1114	0.0049	0.0498	0	0	0.0924	0.0804	0.6236
value...27	0.0052	0.0087	0.0196	0.0736	0	0	0.0785	0.1472	0.6672
value...28	0.0122	0.0548	0.0308	0.0396	0	0	0.0267	0.1151	0.7208
value...29	0.0069	0.0892	0.0295	0.047	0	0.0098	0.0126	0.1308	0.6741
value...30	0.0072	0.0324	0.033	0.0247	0	0	0.0173	0.0992	0.7863
value...31	0.0151	0.053	0.0142	0.0757	0	0	0.0985	0.1735	0.5699
value...32	0.0433	0.0787	0.018	0.0612	0	0	0.0855	0.1087	0.6045
value...33	0.0087	0.0865	0.0313	0.0509	0	0	0.0633	0.111	0.6484
value...34	0.0054	0.0559	0.0338	0.0482	0	0	0.017	0.1236	0.716
value...35	0.0182	0.1271	0.0217	0.0657	0	0	0.0734	0.1231	0.5708
value...36	0.0141	0.1371	0.0235	0.0397	0	0	0.077	0.0871	0.6215
value...37	6e-04	0.0563	0.0413	0.0089	0	0	0.0053	0.1657	0.7219
value...38	0.0126	0.117	0.0218	0.0405	0	0	0.092	0.08	0.636
value...39	0.0076	0.1296	0.0235	0.0647	0	0	0.0831	0.1368	0.5546
value...40	0.0246	0.1004	0.0219	0.0436	0	0	0.0678	0.123	0.6187
value...41	0.0386	0.0688	0.0116	0.0428	0	0	0.1021	0.0591	0.6769
value...42	0.0049	0.0898	0.0326	0.025	0	0.0177	0.0069	0.1507	0.6723
value...43	0.0164	0.0822	0.0261	0.0397	0	0	0.0415	0.088	0.706
value...44	0.0126	0.1144	0.0279	0.0488	0	1e-04	0.027	0.1187	0.6504
value...45	0.0376	0.0414	0.015	0.0436	0	0	0.1203	0.0903	0.6518
value...46	0.0155	0.1391	0.0214	0.0602	0	0	0.0693	0.0617	0.6328
value...47	0.0518	0.1652	0.0043	0.0411	0	0	0.1334	0.0325	0.5717
value...48	0.0103	0.0919	0.0288	0.011	0	0	0.0749	0.0724	0.7107
value...49	0.01	0.1031	0.0292	0.0476	0	0	0.061	0.0913	0.6579
value...50	0.0025	0.0081	0.0376	0.022	0	0	0.0158	0.0774	0.8365
value...51	0.0395	0.115	0.0062	0.0796	0	0.0558	0.0683	0.0845	0.5512
value...52	0.0059	0.1039	0.0355	0.0243	0	0	0.0266	0.1004	0.7033
value...53	0.0338	0.1052	0.0085	0.0895	0	0	0.1224	0.1663	0.4743
value...54	0.0192	0.0679	0.0202	0.0692	0	0	0.0976	0.103	0.6229
value...55	0.0116	0.0642	0.031	0.0309	0	0	0.04	0.0804	0.7419
value...56	0.0158	0.0671	0.0165	0.0811	0	0	0.0717	0.1	0.6478
value...57	0.0444	0.0458	0.0147	0.0676	0	0	0.133	0.1119	0.5826
value...58	0.0172	0.0979	0.0298	0.0369	0	0.0077	0.0406	0.1139	0.6561
value...59	0.0205	0.0035	0.0322	0.0294	0	0	0.0599	0.1535	0.7009
value...60	0.0258	0.0148	0.0253	0.0163	0	0.0214	0.0546	0.07	0.7717
value...61	0.0051	0.0295	0.0353	0.0251	0	0	0.0232	0.135	0.7468
value...62	0.0106	0.0318	0.0321	0.0253	0	0	0.0359	0.083	0.7813
value...63	0.0054	0.0596	0.0313	0.0283	0	0	0.0272	0.1442	0.7041
value...64	0.0637	0.0794	0.001	0.0498	0	0	0.1446	0.1775	0.484
value...65	0.0101	0.1099	0.0363	0.0271	0	0.0128	0.043	0.0738	0.6869
value...66	0.0358	0.0795	0.0213	0.0536	0	0	0.051	0.1381	0.6207
value...67	0.0422	0.0428	0.0213	0.0414	0	0.0077	0.0662	0.1489	0.6295
value...68	0.0386	0	0.0018	0.1308	0	0	0.1171	0.2479	0.4637
value...69	0.0413	0.0217	0.002	0.0946	0	0	0.1464	0.2337	0.4603
value...70	0.026	0.0029	0.0171	0.0799	0	0	0.1125	0.0637	0.6978
value...71	0.0129	0.0307	0.0398	0.0493	0	0	0.0317	0.1301	0.7055
value...72	0.0191	0.1225	0.023	0.0463	0	0	0.0696	0.1057	0.6138
value...73	0.0169	0.0772	0.0228	0.031	0	0	0.0664	0.0847	0.7011
value...74	0.0187	0.1138	0.0224	0.0504	0	0.0337	0.0257	0.1573	0.5781
value...75	0.0074	0.0043	0.0101	0.1138	0	0	0.0942	0.0341	0.7361
value...76	0.0157	0.129	0.0302	0.027	0	0	0.0488	0.0597	0.6896
value...77	0.0087	0.0332	0.0319	0.0402	0	0	0.0514	0.127	0.7076
value...78	0.0198	0.1695	0.0202	0.0345	0	0	0.0587	0.1583	0.5391
value...79	0.0128	0.0273	0.0226	0.0236	0	0	0.0541	0.0724	0.7873
value...80	0.0307	0.0959	0.0197	0.0803	0	0.0122	0.0225	0.1372	0.6015
