
sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	Malignant	otherCells
value...1	0	0.0241	0.0194	0.1396	1e-04	0.1163	0.1008	0.2443	0.3555
value...2	0.0202	0.0127	0.0098	0.1939	0	0.1217	0.0873	0.165	0.3895
value...3	0.0053	0.036	0.0217	0.0475	0.027	0.0535	0.0029	0.3052	0.501
value...4	0.0038	0.0452	0.0304	0.0451	0.0189	0.0611	0	0.3018	0.4938
value...5	0	0.0425	0.0287	0.0475	0.0311	0.0332	0.0131	0.2791	0.5247
value...6	0.0146	0.0298	0.0247	0.0686	0.0261	0.1363	0.0083	0.2597	0.4319
value...7	0	0.0571	0.0296	0.086	0	0.0617	0.0919	0.2684	0.4053
value...8	0	0.0278	0.0241	0.0941	0.0106	0.1341	0.0413	0.2608	0.4074
value...9	0	0.045	0.0333	0.0252	0.0282	0.0166	0.0015	0.3327	0.5175
value...10	0.0046	0.0292	0.0219	0.0801	0.025	0.0516	0.0223	0.2728	0.4925
value...11	0.0132	0.0385	0.0295	0.1138	0.0095	0.1221	0.0475	0.2394	0.3866
value...12	0.0077	0.0308	0.0261	0.0951	0.0026	0.0942	0.0336	0.2419	0.4679
value...13	0	0.0486	0.0319	0.0796	0.024	0.0931	9e-04	0.2877	0.4342
value...14	0.0043	0.0243	0.0189	0.0994	0.0079	0.1294	0.0512	0.2756	0.3891
value...15	0	0.0436	0.0231	0.1817	0	0.0907	0.0764	0.1807	0.4038
value...16	0.0106	0.041	0.0236	0.0706	0.013	0.0849	0.0511	0.255	0.4503
value...17	5e-04	0.03	0.015	0.1967	0	0.1702	0.1397	0.1681	0.2798
value...18	0	0.0235	0.0173	0.1374	0	0.1937	0.1295	0.1781	0.3204
value...19	0	0.0387	0.0237	0.1073	0.0013	0.1545	0.0751	0.2356	0.3638
value...20	0.018	0.0222	0.0206	0.0528	0.0063	0.1257	0	0.3199	0.4345
value...21	0.0243	0.0161	0.0148	0.0903	0	0.1038	0.0713	0.3024	0.3768
value...22	0	0.0122	0.0093	0.1838	0	0.195	0.0363	0.243	0.3204
value...23	0	0.0373	0.0242	0.0501	0.0325	0.0286	0.009	0.3136	0.5049
value...24	0.0018	0.0385	0.0208	0.0642	0.0204	0.0542	0	0.2942	0.5057
value...25	0	0.0493	0.0325	0.032	0.0196	0.0498	0	0.3373	0.4795
value...26	0.0385	0.0279	0.0244	0.1716	0	0.0852	0.0149	0.2389	0.3986
value...27	0	0.0274	0.022	0.1253	0.0101	0.1131	0.0556	0.2526	0.3939
value...28	0.0128	0.0395	0.0235	0.0599	0.0128	0.0764	0.0377	0.2844	0.453
value...29	0.0166	0.03	0.0225	0.0357	0.0145	0.0825	0	0.332	0.4663
value...30	0	0.0453	0.0338	0.0331	0.0224	0.0392	0.0029	0.3407	0.4826
value...31	0	0.0265	0.0207	0.1417	0	0.1192	0.0919	0.2154	0.3846
value...32	0.0116	0.0439	0.0379	0.1132	0.0014	0.0743	0.0437	0.2308	0.4432
value...33	0	0.0335	0.0233	0.0694	0.0237	0.0982	0.015	0.2916	0.4453
value...34	0	0.0357	0.0232	0.0476	0.0264	0.0593	0.0017	0.3433	0.463
value...35	0	0.0302	0.0222	0.1037	0.0102	0.125	0.0212	0.3212	0.3662
value...36	0.0187	0.0281	0.0167	0.0944	0.0139	0.0867	0.0464	0.2306	0.4645
value...37	0	0.0496	0.0327	0.0172	0.0201	0	0	0.3372	0.5432
value...38	0	0.0238	0.0238	0.0932	0.0067	0.0769	0.055	0.2609	0.4597
value...39	0	0.019	0.021	0.1197	0.008	0.1046	0.0548	0.26	0.4128
value...40	0.0088	0.0398	0.0304	0.0758	0.0161	0.1142	0.0134	0.277	0.4244
value...41	0.0176	0.042	0.0327	0.1154	0	0.069	0.0669	0.194	0.4624
value...42	0.0032	0.0455	0.0261	0.035	0.0219	0.0295	0	0.3456	0.4933
value...43	0.0147	0.0389	0.0245	0.0591	0.0258	0.0805	0.0392	0.2481	0.4692
value...44	0.0091	0.0416	0.0218	0.0523	0.0134	0.0978	0.0157	0.2811	0.4672
value...45	6e-04	0.0426	0.0273	0.1315	0.0074	0.0561	0.087	0.2256	0.4219
value...46	0.0032	0.0276	0.0177	0.0972	0.0117	0.1082	0.0199	0.3033	0.411
value...47	0.0153	0.0574	0.0385	0.1287	0	0.1261	0.0864	0.1449	0.4027
value...48	0.0044	0.0363	0.028	0.0773	0.0261	0.0172	0.0474	0.2428	0.5206
value...49	0	0.0334	0.0212	0.0955	0.0161	0.0929	0.0486	0.2679	0.4245
value...50	0	0.0439	0.0305	0.0298	0.0261	0.0018	0	0.3398	0.5281
value...51	0.0286	0.0174	0.0116	0.1435	0	0.1992	0.0757	0.238	0.286
value...52	0	0.0356	0.026	0.0398	0.0287	0.0554	0.0246	0.2953	0.4946
value...53	0.0021	0.0297	0.0189	0.1778	0	0.1182	0.0586	0.227	0.3676
value...54	0	0.0272	0.0155	0.1302	0.0064	0.1315	0.0653	0.2385	0.3854
value...55	0	0.0475	0.0322	0.0511	0.018	0.0566	0	0.3072	0.4874
value...56	0.0098	0.0323	0.0097	0.1384	0.0156	0.1929	0.0019	0.2551	0.3443
value...57	0.0031	0.049	0.0182	0.1283	0.007	0.1676	0.0328	0.2436	0.3504
value...58	0.0183	0.0291	0.0207	0.0698	0	0.0954	0.0494	0.3185	0.3988
value...59	0	0.0484	0.0299	0.0894	0.0222	0.0695	0.0214	0.2833	0.4359
value...60	0.0169	0.0483	0.0306	0.0637	0.018	0.0835	0.0169	0.3057	0.4164
value...61	0	0.0473	0.0287	0.0417	0.0176	0.032	0	0.3411	0.4916
value...62	0.0115	0.03	0.0201	0.0506	0.0229	0.05	0.0369	0.3043	0.4737
value...63	0	0.0385	0.0277	0.0511	0.0249	0.0373	3e-04	0.303	0.5171
value...64	0.0041	0.053	0.0323	0.1444	0	0.1617	0.0941	0.1916	0.3189
value...65	0.0044	0.0327	0.027	0.0582	0.0233	0.0664	0.0204	0.3042	0.4633
value...66	0.0134	0.0467	0.0373	0.1046	0	0.0483	0.0284	0.3541	0.3673
value...67	0.0062	0.0461	0.0339	0.1021	3e-04	0.0837	0.0414	0.2944	0.3919
value...68	8e-04	0.0385	0.022	0.217	0	0.2021	0.0489	0.2551	0.2156
value...69	0.0091	0.0483	0.0279	0.1623	0	0.1562	0.1249	0.1502	0.321
value...70	0	0.0512	0.0165	0.1653	0	0.1317	0.0827	0.2381	0.3145
value...71	0	0.0489	0.0286	0.0462	0.0184	0.0883	0.0149	0.3463	0.4084
value...72	0	0.0462	0.0282	0.0949	0.0079	0.0903	0.0115	0.3047	0.4164
value...73	0.0058	0.0293	0.0305	0.0682	0.0083	0.0878	0.04	0.2915	0.4385
value...74	0.0077	0.0345	0.0225	0.0964	0.0174	0.0739	0.019	0.298	0.4306
value...75	0	0.0159	0.0099	0.1334	0	0.2551	0.115	0.1889	0.2818
value...76	0.0087	0.0392	0.0228	0.0679	0.0255	0.0562	0.0278	0.2933	0.4587
value...77	0	0.0309	0.0221	0.0957	0.0255	0.0498	0.0046	0.3159	0.4556
value...78	0	0.0398	0.0309	0.0956	0	0.0599	0.0548	0.2837	0.4352
value...79	0	0.0391	0.0234	0.074	0.0173	0.0552	0.0419	0.265	0.484
value...80	0.0205	0.0433	0.0273	0.0734	0.0124	0.1466	6e-04	0.2839	0.392
value...81	0.0031	0.01	0.0139	0.1551	0	0.2042	0.1158	0.187	0.3108
value...82	0.0354	0.0547	0.0283	0.1681	0	0.1303	0.0533	0.2086	0.3213
value...83	0.0025	0.0515	0.0284	0.1984	0	0.1925	0.0129	0.2444	0.2694
value...84	0.0172	0.0497	0.0271	0.1027	0	0.1857	0.1153	0.2089	0.2934
value...85	0.0036	0.0186	0.0099	0.1516	0	0.1691	0.0528	0.2313	0.3631
value...86	0	0.04	0.0369	0.0752	0.0288	0.0282	0.0112	0.2785	0.5012
value...87	0.0059	0.011	0.0086	0.1599	0	0.1781	0.1386	0.1297	0.3681
value...88	0	0.0315	0.0179	0.1441	0	0.1848	0.0753	0.2869	0.2594
value...89	9e-04	0.0417	0.0265	0.0642	0.021	0.0393	0.0384	0.2872	0.4808
value...90	0.009	0.0217	0.0167	0.1039	0	0.1589	0.0149	0.2639	0.4109
value...91	0.01	0.034	0.0235	0.037	0.0173	0.0862	0.0538	0.313	0.4252
value...92	0.0149	0.0391	0.0312	0.0741	0.0027	0.1887	0.0365	0.2566	0.3563
