
sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	otherCells
value...1	0.017	0.0945	0.0295	0.0394	0.0873	0.1123	0.0618	0.5583
value...2	0.0915	0.1259	0.0262	0.1102	0.049	0.146	0.0165	0.4347
value...3	0.0296	0.0952	0.0164	0.0628	0.0051	0.0336	0.0297	0.7277
value...4	0.0193	0.1044	0.0463	0.0832	0.0034	0.0285	0.0264	0.6886
value...5	0.021	0.099	0.0328	0.0314	0	0.0336	0.0369	0.7453
value...6	0.0739	0.1179	0.0387	0.133	5e-04	0.0515	0.0163	0.5682
value...7	0.0204	0.1393	0.072	0.0224	0.0517	0.0813	0.0349	0.578
value...8	0.0257	0.1035	0.0251	0.1027	0.0406	0.059	0.0368	0.6066
value...9	0.0034	0.0618	0.029	0.0397	0	0.0217	0.0139	0.8304
value...10	0.0362	0.1215	0.0244	0.0298	0.0366	0.044	0.0326	0.6749
value...11	0.0685	0.071	0.0409	0.0594	0.033	0.0611	0.0742	0.592
value...12	0.0474	0.1273	0.0312	0.0644	0.0438	0.0614	0.0373	0.5872
value...13	0.02	0.1159	0.0528	0.0871	0.0306	0.0491	0.0124	0.632
value...14	0.0327	0.0797	0.0178	0.083	0.0302	0.0797	0.0645	0.6123
value...15	0.045	0.0974	0.0637	0.0636	0.0847	0.1088	0.0166	0.5202
value...16	0.0219	0.0955	0.0432	0.1032	0	0.0943	0.0108	0.6311
value...17	0.0763	0.0825	0.0562	0.0937	0.0841	0.1328	0.0481	0.4264
value...18	0.0277	0.1054	0.0402	0.113	0.0749	0.1055	0.0696	0.4638
value...19	0.0286	0.1189	0.0513	0.1157	0.0428	0.0925	0.0241	0.526
value...20	0.0472	0.1499	0.0173	0.142	0	0.0355	0.0167	0.5915
value...21	0.0624	0.1386	0.0164	0.0605	0.0566	0.0643	0.0611	0.5401
value...22	0.0604	0.172	0.0278	0.1293	0.0846	0.0747	0.0468	0.4043
value...23	0.0274	0.105	0.0254	0.0507	0	0.0416	0.0172	0.7327
value...24	0.0355	0.0786	0.0206	0.0901	4e-04	0.036	0.0327	0.7061
value...25	0.0126	0.0796	0.0337	0.0539	0	0.0222	0.0211	0.7768
value...26	0.0914	0.1304	0.0528	0.0353	0.0482	0.0995	0.0513	0.4912
value...27	0.0338	0.0429	0.0241	0.0981	0.0502	0.085	0.0426	0.6233
value...28	0.0412	0.093	0.0273	0.0558	0.033	0.041	0.0481	0.6606
value...29	0.0401	0.1369	0.0186	0.0925	0	0.0424	0.0165	0.653
value...30	0.0092	0.0679	0.0322	0.0454	0	0.0233	0.0182	0.8039
value...31	0.0371	0.1144	0.0341	0.0975	0.0445	0.1176	0.0276	0.5273
value...32	0.0568	0.1761	0.0745	0.0443	0.0364	0.0839	0.0175	0.5104
