
sampleID	B	Tfh	Th1	Endothelial	Fibroblasts	Monocyte	Tprolif	CD4Tn	CD8Tex	otherCells
value...1	0.0087	0.1338	0	0.0787	0.038	0.0248	0.1371	0.0157	0.0022	0.5609
value...2	0.0619	0.0748	0	0.0973	0.036	0.066	0.0808	0.0747	0	0.5084
value...3	0.0155	0	0	0.0954	0.0256	0.0346	0.1038	0.0157	0	0.7094
value...4	0.0086	0	0	0.0786	0.0611	0.0468	0.1025	0.0114	0	0.6911
value...5	0.0089	0.0175	0	0.0866	0.0449	0.0197	0.083	0.0076	0	0.7316
value...6	0.0462	0.0027	0	0.0971	0.0476	0.0772	0.0684	0.0387	0	0.622
value...7	0.012	0.0616	0	0.1042	0.1003	0.0092	0.1016	0.026	0	0.5852
value...8	0.0116	0.0345	0	0.0782	0.0362	0.065	0.1266	0.0179	0	0.63
value...9	0	0	0	0.0575	0.0446	0.0218	0.0719	0.0092	0	0.7949
value...10	0.0199	0.0071	0	0.1091	0.0346	0.0177	0.1334	0.0207	0	0.6575
value...11	0.0432	0.0826	0	0.0448	0.0572	0.0357	0.0842	0.002	0.0252	0.6253
value...12	0.0287	0.0431	0	0.1164	0.0457	0.0381	0.1206	0.0193	0	0.5882
value...13	0.0118	0	0	0.0817	0.0724	0.0512	0.0923	0.0226	0	0.668
value...14	0.0163	0.0847	0	0.0675	0.0239	0.0513	0.1277	0.0153	1e-04	0.6134
value...15	0.0264	0.0291	0	0.0545	0.0865	0.0434	0.1616	0.0658	0	0.5328
value...16	0.0116	0.0014	0	0.081	0.057	0.0546	0.0771	0.0557	0	0.6616
value...17	0.0498	0.1011	0	0.0387	0.0762	0.064	0.1499	0.0642	0	0.4561
value...18	0.0155	0.087	0	0.0741	0.0506	0.0658	0.1544	0.039	0.0167	0.4969
value...19	0.0159	0.0172	0	0.0916	0.068	0.0633	0.1335	0.0566	0	0.5539
value...20	0.0266	0	0	0.1387	0.0237	0.0809	0.0758	0.0151	0	0.6391
value...21	0.0391	0.0749	0	0.1291	0.0231	0.0327	0.1504	0.0041	0	0.5464
value...22	0.0384	0.0689	0	0.1438	0.037	0.0815	0.1634	0.0195	0	0.4475
value...23	0.0153	0	0	0.0922	0.0375	0.0277	0.0803	0.0261	0	0.7209
value...24	0.0206	0.0162	0	0.0739	0.0284	0.0561	0.0838	0.0106	0	0.7104
value...25	0.0026	0	0	0.0651	0.0493	0.0317	0.084	0.009	0	0.7581
value...26	0.0584	0.0766	0	0.1135	0.074	0.0211	0.1364	0.0255	0	0.4944
value...27	0.0168	0.0364	0	0.0351	0.0338	0.0557	0.1602	0.0473	0	0.6146
value...28	0.0247	0.0409	0	0.0786	0.0377	0.0364	0.1251	0.0094	0	0.6472
value...29	0.022	0	0	0.1339	0.0273	0.048	0.0828	0.0198	0	0.6662
value...30	0.0025	0	0	0.0564	0.0432	0.0237	0.0813	0.0116	0	0.7814
value...31	0.021	0.0428	0	0.0943	0.0447	0.0535	0.1267	0.0621	0	0.5549
value...32	0.0325	0.0149	0	0.1279	0.1011	0.0282	0.1094	0.0513	0	0.5346
value...33	0.0045	0.0408	0	0.0995	0.0372	0.0566	0.0819	0.0178	0	0.6616
value...34	0.017	0	0	0.0856	0.0261	0.0388	0.1138	0.0094	0	0.7092
value...35	0.0253	0.0381	0	0.0625	0.0453	0.0555	0.1284	0.0218	0	0.6232
value...36	0.0281	0.0176	0	0.0753	0.0289	0.0564	0.0771	0.04	0	0.6766
value...37	0	0	0	0.052	0.0316	0.0213	0.0555	0	0	0.8396
value...38	0.0072	0.0151	0	0.1284	0.0358	0.0506	0.0739	0.0445	0	0.6446
value...39	0.017	0.0465	0	0.1031	0.0221	0.0419	0.1427	0.0333	0	0.5934
value...40	0.026	0.0497	0	0.1008	0.0617	0.0556	0.07	0.0249	0.0132	0.5982
value...41	0.0456	0.0235	0	0.1003	0.0757	0.0394	0.0876	0.0598	0	0.5681
value...42	0.0045	0	0	0.0849	0.0283	0.026	0.0811	0.0108	0	0.7643
value...43	0.0234	0.0338	0	0.0712	0.0463	0.0411	0.1076	0.0236	0	0.653
value...44	0.0134	0.0122	0	0.0945	0.0429	0.0529	0.1047	0.0149	0	0.6646
value...45	0.0354	0.0491	0	0.0884	0.0909	0.0173	0.1147	0.0516	0	0.5527
value...46	0.0201	0.0595	0	0.1096	0.042	0.0525	0.0903	0.019	0	0.6069
value...47	0.0247	0.0473	0	0.1131	0.1326	0.03	0.0646	0.0539	0.0296	0.5042
value...48	0.0203	0.0161	0	0.0648	0.0372	0.0156	0.0763	0.0475	0	0.7222
value...49	0.0107	0.0406	0	0.0954	0.0346	0.0415	0.1197	0.0258	0	0.6317
value...50	1e-04	0	0	0.0569	0.0253	0.0212	0.0753	0.005	0	0.8161
value...51	0.0651	0.1037	0	0.1038	0.0459	0.051	0.1444	0	0.036	0.4502
value...52	0.0112	0	0	0.0777	0.0253	0.0378	0.0931	0.019	0	0.7359
value...53	0.0474	0.0312	0	0.1207	0.0791	0.0409	0.1676	0.0513	0	0.4618
value...54	0.0249	0.0356	0	0.0752	0.0374	0.0664	0.1239	0.0438	0	0.5927
value...55	0.0031	0.0041	0	0.0669	0.0554	0.036	0.0903	0.0107	0	0.7334
value...56	0.0369	0.0824	0	0.0451	0.0373	0.0701	0.1282	0.0123	0	0.5877
value...57	0.0258	0.0624	0	0.0629	0.0936	0.0772	0.0737	0.0293	0.0239	0.5512
value...58	0.0202	0.0604	0	0.1117	0.0403	0.0273	0.1117	0.0121	5e-04	0.6158
value...59	0.0108	0.0617	0	0.0476	0.0753	0.0203	0.1301	0	4e-04	0.6537
value...60	0.0257	0.0453	0	0.0404	0.0739	0.0252	0.1007	0.0143	0.0013	0.6734
value...61	0.008	0	0	0.053	0.0324	0.0253	0.0883	0.0048	0	0.7881
value...62	0.0253	0.0341	0	0.0665	0.02	0.022	0.1078	0.0047	0.0076	0.712
value...63	0.0081	0	0	0.0688	0.0288	0.0278	0.0906	0.0179	0	0.758
value...64	0.0337	0.0855	0	0.0796	0.1281	0.0391	0.1034	0.0089	0.0427	0.479
value...65	0.0088	0.053	0	0.1162	0.0379	0.0331	0.0902	0.0114	0.0034	0.646
value...66	0.0315	0.0239	0	0.0975	0.096	0.0154	0.1436	0.0255	0	0.5665
value...67	0.0413	0.0753	0	0.096	0.0896	0.03	0.121	0	0	0.5468
value...68	0.0445	0.0863	0	0.0223	0.0856	0.0668	0.208	0.0217	0	0.4649
value...69	0.028	0.06	0	0.0549	0.1138	0.0792	0.1269	0.054	0	0.4832
value...70	0.0147	0.1055	0	0.0559	0.0946	0.0293	0.1723	0.0159	0.0027	0.5092
value...71	4e-04	0.0067	0	0.0547	0.0565	0.0432	0.105	0.0133	0	0.7202
value...72	0.016	0.028	0	0.0707	0.0761	0.0413	0.0942	0.0215	0	0.6521
value...73	0.0231	0.0403	0	0.0912	0.0326	0.0461	0.1045	0.0144	0	0.6479
value...74	0.0337	0.0439	0	0.0923	0.0463	0.0191	0.1699	0	0.0022	0.5926
value...75	0.0146	0.114	0	0.0258	0.016	0.1162	0.1134	0.0328	0.0101	0.5571
value...76	0.0227	0.01	0	0.075	0.0432	0.0287	0.0982	0.0301	0	0.6922
value...77	0.0185	0.0268	0	0.0496	0.0293	0.0206	0.1491	0.0072	0	0.6989
value...78	0.0081	0.027	0	0.1375	0.073	0.0213	0.1337	0.0186	0	0.5809
value...79	0.009	0.0499	0	0.0675	0.0463	0.025	0.0929	0.0194	0	0.6899
value...80	0.0432	0.0269	0	0.0948	0.0727	0.0582	0.1176	0.015	0	0.5715
value...81	0.0382	0.1199	0	0.1263	0.0384	0.0758	0.0822	0.0218	0.0318	0.4655
value...82	0.0423	0.0862	0	0.0615	0.0958	0.0388	0.1115	0.0354	0.0252	0.5034
value...83	0.0286	0.0244	0	0.0365	0.1157	0.0749	0.1986	0.0397	0	0.4816
value...84	0.0512	0.0696	0	0.0776	0.1021	0.0657	0.1211	0.033	3e-04	0.4794
value...85	0.0277	0.0263	0	0.0694	0.0188	0.084	0.1528	0.0562	0	0.5648
