
sampleID	B	Tfh	Th1	Endothelial	Fibroblasts	Monocyte	Tprolif	CD4Tn	CD8Tex	otherCells
value...1	0.0232	0.0791	0.019	0.0936	0.0341	0.0529	0.0419	0.0243	0.0619	0.57
value...2	0.0907	0.0697	0.0297	0.118	0.0308	0.1142	0.0253	0.0542	0.0189	0.4486
value...3	0.0319	0.0297	9e-04	0.1055	0.0191	0.0795	0.0036	0.0044	0.0214	0.704
value...4	0.0208	0.0315	0	0.116	0.0523	0.0974	0.0028	0	0.0162	0.663
value...5	0.0226	0.0362	0	0.1177	0.0371	0.0511	0	0	0.0255	0.7098
value...6	0.0758	0.0482	0	0.1259	0.0443	0.1472	0	0.0085	0.0043	0.5457
value...7	0.0221	0.0605	0	0.1404	0.0815	0.0347	0.0393	0.0202	0.0271	0.5741
value...8	0.0292	0.0559	0	0.11	0.0291	0.1148	0.0275	0.0072	0.0269	0.5994
value...9	0.0049	0.0245	0	0.0824	0.0331	0.0613	0	0	0.0063	0.7874
value...10	0.0396	0.0439	0.0057	0.1259	0.0282	0.0459	0.022	3e-04	0.0247	0.6639
value...11	0.0689	0.0579	0.0181	0.0752	0.047	0.0714	0.0293	0	0.055	0.577
value...12	0.0517	0.0466	0.0206	0.1297	0.0359	0.077	0.0218	0.0059	0.0321	0.5788
value...13	0.0228	0.0516	0	0.1242	0.0602	0.1027	0.0264	0.0033	0	0.6088
value...14	0.0319	0.0652	0.0203	0.0857	0.0207	0.0933	0.0363	0.009	0.0415	0.5961
value...15	0.0465	0.0549	0.034	0.0974	0.072	0.0718	0.0677	0.0316	0.0141	0.51
value...16	0.0214	0.0483	0.005	0.1022	0.0485	0.1108	0	0.0389	0.0066	0.6184
value...17	0.0773	0.0648	0.0019	0.0776	0.0644	0.1001	0.0732	0.0582	0.0467	0.4358
value...18	0.0301	0.0417	0.0226	0.1008	0.0462	0.1156	0.0459	0.0404	0.0757	0.4811
value...19	0.0303	0.0488	0.0115	0.1195	0.0586	0.1234	0.0315	0.0323	0.0223	0.5219
value...20	0.048	0.0341	0.0115	0.1561	0.0201	0.1495	0	0	0.0054	0.5755
value...21	0.0648	0.0489	0.0208	0.1362	0.0196	0.0696	0.0369	0.0051	0.0529	0.5452
value...22	0.0647	0.0788	0.0025	0.1636	0.0328	0.1411	0.0501	0.0031	0.0381	0.4252
value...23	0.0285	0.0387	0	0.1177	0.0292	0.0691	0	0.0049	0.0078	0.7041
value...24	0.035	0.0425	0	0.0923	0.0235	0.1053	1e-04	0	0.0187	0.6826
value...25	0.0135	0.0235	0	0.0963	0.0377	0.0724	0	0	0.0143	0.7422
value...26	0.0928	0.0653	0.05	0.1244	0.0607	0.0384	0.0249	0.0112	0.0406	0.4915
value...27	0.0348	0.0417	0.0176	0.052	0.0276	0.1074	0.032	0.0282	0.0429	0.616
value...28	0.0465	0.0401	1e-04	0.1036	0.0313	0.0715	0.0105	0.0023	0.0451	0.6491
value...29	0.0407	0.0289	0.016	0.1448	0.0216	0.105	0	0.0052	0.0083	0.6295
value...30	0.0107	0.0271	0	0.086	0.037	0.0649	0.0062	0	0.0069	0.7612
value...31	0.0387	0.0673	0.0116	0.1129	0.039	0.1047	0.0258	0.0408	0.0254	0.5337
value...32	0.0582	0.0452	0.0139	0.1734	0.0845	0.0546	0.0255	0.0268	0.0153	0.5026
value...33	0.0143	0.0474	6e-04	0.1212	0.0309	0.1085	0.0061	0.0105	0.0271	0.6335
value...34	0.0287	0.0271	0	0.1025	0.0235	0.0839	0.0133	0	0.0177	0.7034
value...35	0.0445	0.0462	0	0.0799	0.0376	0.1001	0.0381	0.0103	0.0316	0.6118
value...36	0.0484	0.0565	0.0242	0.0836	0.0242	0.1055	0	0.0216	0.0066	0.6294
value...37	0.001	0.0085	0	0.0768	0.0246	0.0531	0	0	0.0037	0.8323
value...38	0.0157	0.0621	0	0.1534	0.0312	0.1062	0.0104	0.0246	0.0028	0.5935
value...39	0.0337	0.0555	0	0.1296	0.0186	0.0835	0.0349	0.0213	0.0372	0.5858
value...40	0.0451	0.0359	0.0087	0.1346	0.0508	0.1003	0.0086	0.0212	0.041	0.5538
value...41	0.0715	0.0597	0.0078	0.1318	0.0612	0.0772	0.0244	0.0342	0.0063	0.5259
value...42	0.0156	0.034	0	0.1054	0.024	0.0685	0	0	0.0119	0.7407
value...43	0.0462	0.0384	0.015	0.0944	0.039	0.0821	0.0013	0.0095	0.0355	0.6387
value...44	0.0296	0.0382	0	0.1252	0.0346	0.1101	0.0069	0	0.0265	0.6289
value...45	0.0575	0.0649	0.0041	0.1197	0.0749	0.0387	0.0303	0.025	0.0241	0.5608
value...46	0.0356	0.064	0.0116	0.1297	0.0363	0.1024	0.0097	0.0108	0.0267	0.5732
value...47	0.0394	0.0459	0.0202	0.1471	0.1131	0.0632	0.0314	0.0508	0.0418	0.4472
value...48	0.0309	0.0475	0	0.0821	0.0315	0.0506	0	0.0282	0.0153	0.714
value...49	0.0243	0.0548	0.0064	0.1156	0.0276	0.0799	0.0249	0.0136	0.0294	0.6235
value...50	0.007	0.0162	0	0.0782	0.0189	0.0554	0.001	0	0.0084	0.8149
value...51	0.0993	0.0594	0.0078	0.1072	0.0378	0.0797	0.0597	0	0.0902	0.4588
value...52	0.0255	0.0378	0	0.097	0.0212	0.0819	0.0062	0	0.0139	0.7163
value...53	0.0779	0.0692	0.0252	0.1555	0.0638	0.0715	0.0585	0.0153	0.0177	0.4454
value...54	0.0477	0.0561	0.0099	0.1002	0.0338	0.1222	0.0213	0.0268	0.0272	0.5548
value...55	0.014	0.0312	0	0.0981	0.0464	0.0786	0.0048	0	0.0197	0.7071
value...56	0.0578	0.0751	0.0178	0.067	0.0315	0.1208	0.0281	0	0.0387	0.5632
value...57	0.0424	0.0471	0.0125	0.0984	0.0786	0.1312	0.0193	0.0283	0.05	0.4921
value...58	0.0377	0.0596	0.0014	0.1356	0.0349	0.0622	0.0253	0.0065	0.0355	0.6013
value...59	0.0234	0.0507	0	0.0819	0.0608	0.0449	0.0455	0	0.0404	0.6524
value...60	0.048	0.0387	0	0.0728	0.0609	0.0546	0.0032	0.0125	0.0436	0.6657
value...61	0.0187	0.0198	0	0.0796	0.0258	0.0614	0.0026	0	0.0109	0.7813
value...62	0.0484	0.0332	0.0031	0.0799	0.0159	0.0519	0.0113	0.0046	0.046	0.7057
value...63	0.0204	0.0391	0	0.0922	0.024	0.0676	0.004	0	0.0094	0.7432
value...64	0.056	0.0553	0.001	0.1143	0.1021	0.06	0.0661	0.0209	0.0745	0.4499
value...65	0.0216	0.0415	0	0.132	0.029	0.0724	0.0097	0.0087	0.0406	0.6446
value...66	0.0509	0.0454	0.0138	0.1302	0.0814	0.0352	0.0591	0.0068	0.0196	0.5576
value...67	0.0627	0.0484	0	0.1214	0.0753	0.0536	0.0675	0	0.0333	0.5377
value...68	0.0736	0.0577	0.0227	0.0505	0.0715	0.112	0.081	0.0156	0.0577	0.4578
value...69	0.0446	0.0591	0.0103	0.089	0.0907	0.1309	0.0419	0.0474	0.0334	0.4526
value...70	0.0277	0.0732	0.0073	0.0865	0.0802	0.0526	0.0819	0.0146	0.055	0.5211
value...71	0.0106	0.0356	0	0.0887	0.0478	0.0893	0.0162	0	0.0201	0.6916
value...72	0.0308	0.0659	0.0059	0.1073	0.0625	0.0867	0.0046	0.0071	0.015	0.6142
value...73	0.0448	0.0468	0	0.1138	0.0254	0.0901	0.0175	0.0063	0.032	0.6233
value...74	0.0562	0.0383	0	0.1086	0.0375	0.038	0.0536	0	0.0527	0.6151
value...75	0.028	0.0791	0.0301	0.038	0.0145	0.2011	0.0366	0.0224	0.0506	0.4997
value...76	0.038	0.0517	0	0.0951	0.0371	0.0634	0.0124	0.0115	0.0154	0.6755
value...77	0.0347	0.0384	0	0.0759	0.0237	0.049	0.0282	0	0.0424	0.7077
value...78	0.0194	0.0665	0.0062	0.1602	0.0595	0.0515	0.0375	2e-04	0.0186	0.5805
value...79	0.0205	0.0505	0.0048	0.0844	0.0387	0.0547	0.0089	0.0163	0.0329	0.6884
value...80	0.0713	0.0412	0.0081	0.1172	0.057	0.1129	0.0279	0	0.0245	0.5399
value...81	0.0638	0.0544	0.0109	0.1561	0.0323	0.1267	0.0368	0.0347	0.0779	0.4064
value...82	0.0671	0.0676	0.0163	0.0989	0.0815	0.0601	0.0568	0.0332	0.0551	0.4633
value...83	0.0511	0.0394	0.0383	0.0791	0.0975	0.1207	0.0722	0.0187	0.0329	0.4501
value...84	0.0784	0.0362	0.0227	0.1178	0.083	0.1167	0.0462	0.0234	0.0391	0.4366
value...85	0.0515	0.0553	0.0108	0.0886	0.0151	0.1463	0.0228	0.0348	0.0332	0.5416
value...86	0.0295	0.0355	0	0.0864	0.0483	0.0493	0.0072	0.0135	0.0121	0.7182
value...87	0.0571	0.0762	0.014	0.1375	0.0355	0.1341	0.0174	0.0592	0.0522	0.4167
value...88	0.0339	0.0641	0.0172	0.0761	0.0603	0.1329	0.0424	0.0188	0.0517	0.5027
value...89	0.0373	0.045	0	0.1174	0.0361	0.0428	0.004	0.0098	0.0253	0.6825
value...90	0.0596	0.0384	0.0039	0.1366	0.0272	0.1303	0.0114	0	0.0486	0.5441
value...91	0.0321	0.0488	0.0071	0.0758	0.0235	0.0977	0	0.0079	0.0289	0.6781
value...92	0.0549	0.0455	0.007	0.0837	0.0564	0.1157	0.014	0	0.0545	0.5683
value...93	0.0253	0.0464	0.0066	0.0728	0.0391	0.0876	0.0027	0.0045	0.0358	0.6794
value...94	0.0272	0.0494	0	0.1405	0.0291	0.1079	0.0087	0.0035	0.0098	0.624
value...95	0.0524	0.0617	0.0032	0.1261	0.1035	0.0739	0.0561	0.0258	0.0538	0.4435
value...96	0.0472	0.0519	0.0039	0.1274	0.044	0.112	0.0522	0.002	0.0297	0.53
value...97	0.0645	0.0599	0.0075	0.0902	0.0778	0.0704	0.0535	0.0362	0.0395	0.5005
value...98	0.051	0.0376	0	0.1356	0.0253	0.1374	0	0	0.0196	0.5935
value...99	0.033	0.0498	0	0.1524	0.041	0.0942	0.0123	0.0219	0.0091	0.5862
value...100	0.0568	0.0366	0	0.095	0.0213	0.0508	0.0599	0	0.0768	0.6029
