
sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	otherCells
value...1	0.0345	0.0409	0.0402	0.0323	0.1524	0.0727	0.037	0.59
value...2	0.0271	0.1284	0.0393	0.088	0.059	0.0869	0.0275	0.5438
value...3	0.0176	0.0851	0.098	0.041	0.1799	0.0626	0.0558	0.46
value...4	0.0115	0.0598	0.0125	0.0768	0.1658	0.0633	0.0216	0.5885
value...5	0.0237	0.1167	0.0705	0.0434	0.132	0.0595	0	0.5542
value...6	0.0458	0.119	0.1275	0.0486	0.0452	0.0402	0.073	0.5007
value...7	0.0118	0.0372	0.1145	0.0228	0.1538	0.0357	0.0083	0.6158
value...8	0.0243	0.0428	0.0918	0.031	0.0983	0.02	0	0.6918
value...9	0.0104	0.0714	0.0645	0.0853	0.1437	0.0385	0	0.5862
value...10	0.0271	0.0743	0.0486	0.0434	0.0959	0.0712	0.026	0.6135
value...11	0.0027	0.1401	0.0703	0.0773	0.0747	0.0412	0.0122	0.5814
value...12	0.0128	0.0828	0.0605	0.0249	0.0925	0.0082	0	0.7183
value...13	0.0184	0.0527	0.0258	0.0312	0.0949	0.0145	0	0.7626
value...14	0.0332	0.0967	0.0644	0.0317	0.1097	0.064	0.0537	0.5466
value...15	0.0107	0.0805	0.0492	0.045	0.1286	0.0396	0	0.6465
value...16	0.0239	0.1233	0.1616	0.0402	0.0695	0.0416	0.0062	0.5338
value...17	0.0281	0.1106	0.063	0.0843	0.1233	0.0825	0.0526	0.4556
value...18	0.0025	0.055	0.0283	0.0205	0.0797	0	0	0.8141
value...19	0.0295	0.0447	0.1197	0.1032	0.1687	0.052	0	0.4822
value...20	0.0338	0.1024	0.0727	0.0581	0.1196	0.0965	0	0.5169
value...21	0.0046	0.0806	0.0288	0.0159	0.0818	0.0107	0	0.7776
value...22	0.0053	0.0926	0.0494	0.0974	0.1373	0.076	0.0463	0.4957
value...23	0.0496	0.1112	0.0333	0.0412	0.1348	0.0196	0	0.6102
value...24	0.1118	0.0624	0.0487	0.0631	0.0525	0.0702	0.0971	0.4942
value...25	0.0451	0.0776	0.0628	0.0898	0.0717	0.0346	0.0325	0.5858
value...26	0.0088	0.1438	0.0441	0.0316	0.0968	0.1044	0.0689	0.5016
value...27	0.0128	0.0955	0.0388	0.0221	0.1359	0.0461	0.0299	0.6189
value...28	0.0319	0.0958	0.1089	0.068	0.07	0.0092	0	0.6162
value...29	0.0016	0.0553	0.093	0.0343	0.1354	0.0539	0.0235	0.603
value...30	0.0347	0.1538	0.0484	0.0775	0.1176	0.1021	0	0.4658
value...31	0.0269	0.1501	0.0388	0.0641	0.1707	0.0597	0.0125	0.4773
value...32	0.0221	0.1107	0.0602	0.0954	0.1059	0.0699	0.0141	0.5217
value...33	0.0122	0.073	0.0214	0.0714	0.1347	0.0539	0.0066	0.6268
value...34	0.0364	0.1465	0.1108	0.0895	0.0775	0.0345	0.0469	0.458
value...35	0.0031	0.0359	0.1059	0.0978	0.092	0.0424	0.0498	0.5731
value...36	0.0305	0.14	0.0235	0.0821	0.0732	0.0723	0.0138	0.5646
value...37	0.011	0.0667	0.0923	0.0534	0.0845	0.035	0	0.6571
value...38	0.0352	0.0628	0.0659	0.0707	0.186	0.039	0.016	0.5244
value...39	0.0141	0.1119	0.0679	0.0653	0.0531	0.0476	0	0.6402
value...40	0.0174	0.0699	0.0669	0.0494	0.1079	0.0282	0	0.6603
value...41	0.0254	0.1026	0.0189	0.0486	0.1725	0.0302	0	0.6018
value...42	0.0243	0.0492	0.0944	0.0582	0.0856	0.0417	0	0.6465
value...43	0.0296	0.0399	0.0528	0.0381	0.1395	0.0619	0.0148	0.6235
value...44	0.0453	0.1432	0.0233	0.0984	0.0553	0.0964	0.0583	0.4798
value...45	0.0165	0.0859	0.0341	0.0417	0.0989	0.0042	0	0.7186
value...46	0.0427	0.1494	0.0159	0.0983	0.1584	0.0593	0	0.4759
value...47	0.0248	0.0342	0.1426	0.0209	0.235	0.0414	0.0053	0.4958
value...48	0.0238	0.1398	0.0319	0.1187	0.0715	0.0888	0.0131	0.5125
value...49	0.0031	0.1151	0.0746	0.0712	0.0778	0.0485	0.0308	0.5789
value...50	0	0.0664	0.0664	0.0461	0.1243	0.0242	0	0.6727
value...51	0.0243	0.0562	0.0498	0.0773	0.0785	0.0434	0.0082	0.6624
value...52	0.0101	0.0662	0.0637	0.0861	0.1501	0.0318	0	0.592
value...53	0.0182	0.0693	0.0412	0.032	0.1001	0.0201	0	0.7191
value...54	0.0102	0.0875	0.0623	0.0712	0.0716	0.0217	0	0.6755
value...55	0.0072	0.1565	0.0728	0.0609	0.0868	0.045	0.02	0.5508
value...56	0.0065	0.0652	0.0335	0.0314	0.0919	0.0084	0	0.763
value...57	0.0026	0.0767	0.042	0.0363	0.1296	0.047	0.0039	0.662
value...58	0.0057	0.0828	0.0376	0.0257	0.0819	0	0	0.7663
value...59	0.0418	0.141	0.0671	0.1196	0.0501	0.0278	0.0035	0.549
value...60	0.0336	0.0611	0.0257	0.0511	0.1529	0.0452	0.001	0.6294
value...61	0.0063	0.1175	0.0853	0.0481	0.0869	0.0232	0	0.6327
value...62	0.0734	0.0849	0.0156	0.0312	0.1166	0.0719	0.0821	0.5243
value...63	0.004	0.0981	0.0252	0.0449	0.0967	0.0239	0.0143	0.6929
value...64	0.0449	0.061	0.0431	0.1032	0.1076	0.0416	0.0639	0.5347
value...65	0.046	0.0821	0.1063	0.0797	0.159	0.0594	0	0.4674
value...66	0.0275	0.0822	0.0605	0.0437	0.1147	0.0494	0.0147	0.6073
value...67	0.0078	0.0616	0.0471	0.028	0.0796	0	0	0.7759
value...68	0.0371	0.0497	0.1161	0.0573	0.1137	0.0307	0	0.5954
value...69	0.0158	0.0494	0.0322	0.0464	0.1244	0.0261	0.0084	0.6974
value...70	0.0097	0.106	0.0499	0.0993	0.0752	0.0647	0.0725	0.5227
value...71	0.0044	0.0742	0.0597	0.0635	0.0874	0.0195	0	0.6915
value...72	0.0376	0.0371	0.0299	0.0752	0.1338	0.0597	0	0.6267
value...73	0.0136	0.1195	0.105	0.0889	0.1436	0.0335	0	0.4959
value...74	0	0.0479	0.0261	0.0204	0.0687	0	0	0.8368
value...75	0.0383	0.1206	0.035	0.0769	0.0797	0.055	0.0343	0.5603
value...76	0	0.053	0.0294	0.0203	0.0804	0	0	0.8169
