
sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	otherCells
value...1	0.058	0.0763	0.0312	0	0.1311	0.0714	0.0486	0.5834
value...2	0.0476	0.157	0.0317	0.1003	0.0398	0.0833	0.0345	0.5058
value...3	0.0286	0.1471	0.0732	0	0.15	0.0646	0.0705	0.466
value...4	0.0205	0.0914	0.012	0.0753	0.1442	0.0606	0.0337	0.5623
value...5	0.0436	0.158	0.0545	0.029	0.1114	0.0625	0.0078	0.5333
value...6	0.0791	0.169	0.097	0.0293	0.0166	0.0264	0.0853	0.4973
value...7	0.02	0.0813	0.0856	0.0022	0.1322	0.0382	0.0199	0.6206
value...8	0.0385	0.0687	0.0695	0.0291	0.082	0.039	0	0.6732
value...9	0.0202	0.1038	0.0494	0.1014	0.1261	0.0493	0.0051	0.5447
value...10	0.0474	0.096	0.0362	0.0315	0.071	0.0685	0.0376	0.6119
value...11	0.0067	0.1644	0.0525	0.1023	0.0518	0.0421	0.0198	0.5605
value...12	0.0239	0.0965	0.0473	0.0235	0.0732	0.0267	0	0.7089
value...13	0.0286	0.0464	0.0213	0.0391	0.0758	0.0318	0	0.757
value...14	0.0582	0.1355	0.0477	0	0.0882	0.0566	0.0644	0.5494
value...15	0.0187	0.1009	0.0391	0.046	0.1059	0.0432	0.0095	0.6366
value...16	0.0396	0.1773	0.1179	0.0333	0.0513	0.0345	0.0159	0.5302
value...17	0.0476	0.1553	0.0489	0.0705	0.1011	0.0669	0.066	0.4439
value...18	0.0059	0.0535	0.0208	0.036	0.0635	0.0095	0	0.8107
value...19	0.0518	0.1069	0.0937	0.1018	0.1451	0.0569	0.0066	0.4371
value...20	0.0557	0.1428	0.0508	0.0377	0.1024	0.0981	0.007	0.5056
value...21	0.0074	0.0714	0.0219	0.0236	0.0675	0.0226	0	0.7855
value...22	0.0164	0.1342	0.0363	0.0984	0.1083	0.0629	0.0636	0.4798
value...23	0.0788	0.1257	0.0251	0.0358	0.1171	0.0349	0	0.5826
value...24	0.1692	0.1134	0.0329	0.0265	0.0313	0.0532	0.106	0.4675
value...25	0.0719	0.1102	0.0484	0.107	0.0425	0.0209	0.0452	0.5538
value...26	0.015	0.1869	0.0296	0	0.0862	0.1031	0.0772	0.502
value...27	0.0205	0.1056	0.0288	0.0072	0.1127	0.045	0.0436	0.6367
value...28	0.0532	0.1245	0.0848	0.0956	0.0528	0.0172	0	0.5719
value...29	0.0066	0.0927	0.0733	0.0189	0.1074	0.0524	0.0371	0.6118
value...30	0.0593	0.1966	0.0366	0.0681	0.0984	0.0918	0.0089	0.4402
value...31	0.0421	0.1849	0.0289	0.0638	0.1429	0.0588	0.0289	0.4496
value...32	0.0396	0.1436	0.0459	0.1103	0.0742	0.0623	0.0275	0.4966
value...33	0.0231	0.09	0.0171	0.0804	0.1118	0.059	0.0175	0.6011
value...34	0.0531	0.2	0.0843	0.097	0.0658	0.0255	0.0535	0.4209
value...35	0.0104	0.0837	0.0788	0.1136	0.0683	0.0404	0.0605	0.5442
value...36	0.0551	0.1725	0.0187	0.0913	0.0515	0.0659	0.0221	0.5229
value...37	0.0228	0.097	0.0709	0.0707	0.0645	0.0308	0.0083	0.635
value...38	0.0572	0.1115	0.0503	0.0585	0.155	0.0306	0.034	0.5027
