
sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	Malignant	otherCells
value...1	0.0462	0.113	0.1325	0.1413	0	0.1732	0.173	0	0.2208
value...2	0.1443	0.1111	0.1551	0.1745	0	0.2724	0.0966	0	0.046
value...3	0.0527	0.0306	0.182	0.0589	0	0	0.1197	0.2082	0.348
value...4	0.057	0.0494	0.0816	0.0408	0	0	0.1186	0.3346	0.3179
value...5	0.0261	0.0323	0.0875	0.0227	0.0609	0.1002	0.0376	0.332	0.3007
value...6	0.0301	0.0628	0.1271	0.1025	0	0	0.3079	0	0.3695
value...7	0.0088	0.1694	0.1503	0.1511	0.1927	0.1175	0.0033	0	0.2069
value...8	0.0357	0.0563	0.0816	0.1121	0	0	0.2673	0.0902	0.3568
value...9	0.0272	0.0202	0.044	0.0251	0	0	0.0355	0.5091	0.3389
value...10	0.0767	0.0242	0.1346	0.0578	0	0.1507	0.0547	0.1805	0.3207
value...11	0.0705	0.0579	0.0179	0.0382	0	0.1727	0.2045	0.1676	0.2707
value...12	0.0619	0.0512	0.2012	0.1147	0	0	0.2077	0	0.3633
value...13	0.0268	0.0777	0.107	0.0695	0	0	0.2127	0.1047	0.4016
value...14	0.0699	0.0444	0.0726	0.1132	0	0.0029	0.2271	0.0062	0.4636
value...15	0.0396	0.15	0.0301	0.2038	0	0.0606	0.1416	0	0.3744
value...16	0.1191	0.1002	0.1515	0.1423	0	1e-04	0.14	0	0.3469
value...17	0.0214	0.1863	0.0341	0.2472	0	0.0768	0.2768	0	0.1573
value...18	0.0684	0.1744	0.0825	0.1928	1e-04	0	0.427	1e-04	0.0546
value...19	0.0517	0.1597	0.1499	0.1903	0	0	0.291	0	0.1574
value...20	0.0598	0.0159	0.2269	0.0488	0	0	0.2419	0.0546	0.3521
value...21	0.1004	0.0251	0.2122	0.0912	0	0.1479	0.1603	0	0.263
value...22	0.032	0.0897	0.286	0.1316	0	0	0.3592	0	0.1015
