
sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	Malignant	otherCells
value...1	0.0608	0.0294	0.0276	0.0172	0.1149	0.1381	0.0546	0.2644	0.2931
value...2	0.0499	0.1074	0.0232	0.1024	0.0233	0.1694	0.0413	0.2623	0.2208
value...3	0.0213	0.0716	0.084	0.0279	0.2083	0.1427	0.0646	0.0235	0.356
value...4	0.0219	0.0373	0	0.0829	0.1456	0.1486	0.0164	0.4215	0.1259
value...5	0.0486	0.097	0.0499	0.0296	0.062	0.128	0.0231	0.3599	0.2019
value...6	0.0719	0.1262	0.1125	0.0477	0.0715	0.0778	0.058	0.0766	0.3576
value...7	0.0267	0.0322	0.0819	0.0157	0.0852	0.0828	0.0412	0.4129	0.2214
value...8	0.0404	0.0287	0.0627	0.0261	0.0219	0.0794	0.0193	0.437	0.2845
value...9	0.0247	0.0527	0.0431	0.0956	0.0547	0.1395	0.0308	0.3449	0.214
value...10	0.0491	0.0633	0.0307	0.0312	0.0424	0.123	0.0494	0.4925	0.1184
value...11	0.0092	0.1323	0.0421	0.0821	0.0631	0.1013	0.0184	0.3848	0.1668
value...12	0.0279	0.0649	0.0414	0.0153	0.0521	0.0462	0	0.6566	0.0957
value...13	0.025	0.0181	0.0031	0.016	0.0568	0.0612	0.0015	0.703	0.1153
value...14	0.069	0.0955	0.0502	0.0098	0.0811	0.1141	0.0664	0.2996	0.2143
value...15	0.0225	0.0601	0.0286	0.0341	0.086	0.0971	0.0151	0.4883	0.1682
value...16	0.0518	0.1265	0.1216	0.0368	0.0386	0.0802	0.0208	0.2488	0.275
value...17	0.0521	0.1265	0.0497	0.085	0.0811	0.1795	0.0709	0.0417	0.3135
value...18	0.0079	0.0188	0.004	0.0057	0.0409	0.0209	0	0.8841	0.0178
value...19	0.0488	0.0655	0.0952	0.116	0.0923	0.163	0.037	0.0611	0.3212
value...20	0.0667	0.1172	0.0459	0.066	0.0939	0.171	0.0052	0.1865	0.2476
value...21	0.0136	0.0391	0.0044	0.0062	0.026	0.0283	0.0137	0.8687	0
value...22	0.0073	0.1047	0.038	0.104	0.1455	0.1698	0.0463	0.1931	0.1914
value...23	0.0815	0.1091	0.0168	0.0278	0.0856	0.09	0.011	0.4427	0.1355
value...24	0.1858	0.0843	0.036	0.0524	0.0232	0.152	0.1075	0.0613	0.2975
value...25	0.081	0.0574	0.0348	0.0968	0	0.1246	0.0521	0.3335	0.2199
value...26	0.013	0.097	0.0325	0.0398	0.1715	0.1574	0.0387	0.1383	0.312
value...27	0.0199	0.0614	0.0194	0.0116	0.1548	0.0842	0.0293	0.3828	0.2365
value...28	0.0557	0.0828	0.0752	0.0677	0	0.0708	0.0182	0.4085	0.2211
value...29	0.0016	0.0467	0.0662	0.0293	0.1634	0.0764	0.0161	0.3881	0.2123
value...30	0.0733	0.1256	0.0405	0.0933	0.0276	0.2035	0.0339	0.0613	0.341
value...31	0.0545	0.1433	0.0247	0.0753	0.1332	0.1507	0.0387	0.1299	0.2496
value...32	0.0471	0.1077	0.0441	0.0981	0.0609	0.1502	0.031	0.176	0.285
value...33	0.0255	0.067	0.0024	0.074	0.0889	0.1406	0.0205	0.4632	0.118
value...34	0.0491	0.1453	0.0887	0.0969	0.1009	0.1139	0.0456	0.1384	0.2211
value...35	0.0024	0.0418	0.0724	0.1051	0.122	0.1498	0.0224	0.3243	0.1599
value...36	0.0589	0.1329	0.0095	0.0922	0.025	0.1368	0.031	0.3838	0.1299
value...37	0.0267	0.043	0.0543	0.0594	0.0073	0.0837	0.0252	0.4758	0.2245
value...38	0.0576	0.0503	0.0507	0.0582	0.1637	0.1133	0.0349	0.247	0.2243
value...39	0.0274	0.0942	0.0458	0.0763	0.0069	0.1282	0	0.5182	0.103
value...40	0.0352	0.0349	0.0448	0.0595	0.0323	0.0795	0.0216	0.5187	0.1733
value...41	0.0425	0.0691	0.0072	0.03	0.1079	0.0971	0.0241	0.438	0.1839
value...42	0.0504	0.0426	0.0629	0.0622	0.0229	0.0964	0.0177	0.4778	0.1672
value...43	0.0475	0.021	0.0304	0.0267	0.111	0.1253	0.0298	0.3833	0.225
value...44	0.0746	0.1367	0.0155	0.0885	0.07	0.1889	0.0616	0.0753	0.2889
value...45	0.0391	0.0558	0.0103	0.0355	0.0134	0.0533	0.0285	0.7138	0.0502
value...46	0.088	0.1397	0.0066	0.1069	0.0737	0.1616	0.0298	0.2274	0.1664
value...47	0.0485	0.0449	0.1153	0.0108	0.1634	0.0995	0.0471	0.1034	0.3671
value...48	0.0425	0.1327	0.0135	0.1263	0.0221	0.1824	0.034	0.2312	0.2153
value...49	0.0044	0.1229	0.0513	0.0682	0.0644	0.1148	0.0314	0.4346	0.108
value...50	0.0045	0.05	0.0449	0.0344	0.0558	0.0664	0.0191	0.6349	0.09
value...51	0.0528	0.0533	0.0232	0.0673	0.0029	0.1066	0.0342	0.5869	0.0729
value...52	0.0272	0.0569	0.0408	0.0886	0.0477	0.1217	0.0376	0.4148	0.1646
value...53	0.0336	0.0312	0.0172	0.0234	0.0346	0.0738	0.0219	0.6219	0.1424
value...54	0.0294	0.0605	0.0342	0.0758	0.0041	0.0894	0.0106	0.5773	0.1187
value...55	0.0196	0.1016	0.0496	0.0685	0.0643	0.1199	0.0245	0.3261	0.2259
value...56	0.0126	0.0373	0.0045	0.0319	0.0498	0.051	0	0.6808	0.1321
value...57	0.0019	0.0681	0.0201	0.0314	0.1179	0.0742	0.0165	0.4899	0.18
value...58	0.0101	0.0335	0.0133	0.0131	0.0552	0.0188	0.0058	0.789	0.0611
value...59	0.0725	0.1378	0.0427	0.126	0	0.0957	0.0172	0.3522	0.1559
value...60	0.0563	0.0354	0.008	0.049	0.0551	0.1292	0.0406	0.3832	0.2431
value...61	0.013	0.1044	0.0609	0.0444	0.0268	0.0508	0.0258	0.4838	0.1901
value...62	0.1375	0.0632	0.006	0.0137	0.0733	0.1195	0.1052	0.2139	0.2679
value...63	0.0054	0.0723	0.0036	0.0338	0.0922	0.0537	0.0205	0.6588	0.0597
value...64	0.0815	0.0459	0.0295	0.1062	0.0509	0.1572	0.0822	0.1984	0.2481
value...65	0.086	0.0993	0.0935	0.0941	0.0592	0.1525	0.0475	0	0.3678
value...66	0.0588	0.0473	0.0347	0.034	0.0386	0.1308	0.038	0.3804	0.2373
value...67	0.0198	0.0254	0.015	0.0167	0.035	0.0332	0	0.7789	0.076
value...68	0.0807	0.0389	0.0876	0.0567	0.0188	0.1039	0.0376	0.3386	0.2373
value...69	0.0361	0.0206	0.0132	0.0334	0.061	0.0731	0.0256	0.5836	0.1534
value...70	0.013	0.1026	0.0365	0.0997	0.1302	0.1396	0.0445	0.3307	0.1032
value...71	0.0146	0.054	0.031	0.0634	0.048	0.0684	0.0039	0.5329	0.1839
value...72	0.0729	0.0317	0.0132	0.0907	0.0374	0.1413	0.0313	0.3269	0.2545
value...73	0.03	0.11	0.0813	0.1031	0.0977	0.1079	0.0288	0.1811	0.2601
value...74	7e-04	0.0079	4e-04	0.0075	0.007	0.0152	0	0.8871	0.0741
value...75	0.071	0.1045	0.0206	0.0729	0.0431	0.1444	0.0503	0.3168	0.1764
value...76	2e-04	0.0118	0.0045	0.0091	0.0348	0.0426	0	0.897	0
value...77	0.014	0.0171	0.0168	0.0229	0.0331	0.0278	0.0033	0.8418	0.0232
value...78	0.0364	0.0786	0.0582	0.0561	0.0672	0.0725	0.0042	0.4307	0.1963
value...79	0.0204	0.0535	0.0734	0.0331	0.0576	0.0717	0.0157	0.4967	0.1779
value...80	0.0051	0.0776	0.0534	0.0354	0.078	0.0787	0.0116	0.5032	0.157
value...81	0.0382	0.051	0.0533	0.163	0.0533	0.1754	0.0504	0.1581	0.2573
value...82	0.046	0.0942	0.0436	0.0523	0.0542	0.0984	0.0397	0.3704	0.2012
value...83	0.0335	0.0741	0.0401	0.0475	0.0046	0.0617	0.0061	0.6237	0.1088
value...84	0.0327	0.0337	0.0749	0.1267	0.0704	0.1531	0.0458	0.2725	0.1903
