
sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	Malignant	otherCells
value...1	0.0359	0.0271	0.0329	0.0276	0.1496	0.0864	0.0417	0.2575	0.3413
value...2	0.0311	0.1042	0.0298	0.0875	0.0404	0.1036	0.043	0.2596	0.3008
value...3	0.018	0.0745	0.0952	0.0359	0.167	0.0796	0.0761	0.097	0.3568
value...4	0.018	0.0411	0.0037	0.0772	0.13	0.062	0.0312	0.3377	0.2991
value...5	0.027	0.0973	0.0588	0.0359	0.1159	0.0701	0	0.2797	0.3153
value...6	0.0486	0.0981	0.1247	0.0408	0.0402	0.0594	0.0771	0.1451	0.3661
value...7	0.0163	0.0213	0.0946	0.0172	0.1033	0.0313	0.0312	0.3738	0.3111
value...8	0.0223	0.0218	0.0736	0.0215	0.0757	0.0391	0	0.4542	0.2918
value...9	0.012	0.0565	0.0513	0.0812	0.1181	0.0608	0.0041	0.3259	0.2902
value...10	0.0302	0.0539	0.0387	0.0359	0.0632	0.0633	0.0456	0.3591	0.3101
value...11	0.0069	0.115	0.0531	0.073	0.0433	0.061	0.0286	0.347	0.272
value...12	0.0199	0.053	0.0503	0.0139	0.0491	0.0295	5e-04	0.5662	0.2176
value...13	0.0187	0.023	0.0092	0.0216	0.0669	0.0311	0	0.5538	0.2756
value...14	0.0432	0.0826	0.0577	0.0188	0.0793	0.065	0.07	0.2237	0.3597
value...15	0.0149	0.0571	0.0378	0.0314	0.0967	0.0422	0.0136	0.3931	0.3131
value...16	0.0287	0.1092	0.1377	0.0347	0.0552	0.049	0.0129	0.2308	0.3417
value...17	0.0302	0.1035	0.0553	0.0768	0.121	0.0969	0.0611	0.124	0.3313
value...18	0.0051	0.0262	0.0101	0.0081	0.0434	0.0155	0	0.681	0.2105
value...19	0.028	0.0351	0.1078	0.0946	0.1674	0.0721	0.0067	0.1577	0.3306
value...20	0.04	0.0989	0.0566	0.0585	0.1058	0.098	0.0073	0.18	0.3548
value...21	0.01	0.0441	0.0107	0.0054	0.0387	0.0218	0.0069	0.6472	0.2152
value...22	0.0076	0.0817	0.0441	0.0881	0.1185	0.0746	0.0643	0.1666	0.3544
