

sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	Malignant	otherCells
value...1	0.0305	0.0268	0.0327	0.0268	0.1434	0.0864	0.0445	0.2717	0.3372
value...2	0	0.104	0.0294	0.088	0.031	0.1043	0.0468	0.2858	0.3107
value...3	0.0059	0.0747	0.0951	0.0362	0.1643	0.0795	0.0774	0.1038	0.3631
value...4	0	0.0413	0.0039	0.0779	0.1257	0.061	0.0333	0.3474	0.3095
value...5	0.0284	0.0969	0.0586	0.0347	0.1109	0.0704	0.0022	0.2911	0.3068
value...6	0.0079	0.0979	0.1243	0.042	0.0284	0.0598	0.0821	0.1765	0.3811
value...7	0.0431	0.0207	0.0946	0.0146	0.1011	0.0314	0.0321	0.3752	0.2872
value...8	0.0475	0.021	0.0738	0.0193	0.0743	0.0402	0	0.4538	0.2701
value...9	0	0.0566	0.0517	0.0813	0.1161	0.0632	0.0044	0.3305	0.2963
value...10	0	0.0539	0.0385	0.0373	0.0566	0.0636	0.0483	0.377	0.3248
value...11	0	0.115	0.0527	0.0725	0.0371	0.0614	0.031	0.3627	0.2676
value...12	0.027	0.0526	0.0502	0.0129	0.0459	0.0296	0.0019	0.5723	0.2077
value...13	0.0189	0.023	0.0092	0.0213	0.0662	0.0315	0	0.5554	0.2746
value...14	0.0378	0.0818	0.0574	0.0176	0.0688	0.0653	0.0745	0.2478	0.3489
value...15	0	0.0572	0.0377	0.0318	0.0933	0.0427	0.015	0.4025	0.3198
value...16	0.0405	0.1083	0.1375	0.0323	0.0466	0.0493	0.0166	0.249	0.3199
value...17	0	0.1037	0.0553	0.0778	0.1137	0.0971	0.0643	0.1427	0.3454
value...18	0	0.0264	0.0101	0.0087	0.043	0.0145	7e-04	0.6808	0.2158
value...19	0	0.0357	0.1077	0.0956	0.1629	0.0727	0.0083	0.1708	0.3463
value...20	0.0083	0.0986	0.0563	0.0594	0.0948	0.0983	0.0121	0.2083	0.364
value...21	0	0.0443	0.0107	0.0062	0.0388	0.0213	0.0071	0.6476	0.224
value...22	0	0.0818	0.0442	0.0878	0.1155	0.0734	0.0663	0.1744	0.3568
value...23	0.0304	0.0883	0.0224	0.0327	0.1078	0.0407	0	0.3378	0.3399
value...24	0.1166	0.0508	0.0433	0.0572	0.0221	0.083	0.1192	0.1462	0.3615
value...25	0.0051	0.0577	0.043	0.0903	0.0365	0.0336	0.0514	0.3948	0.2876
value...26	0	0.116	0.041	0.037	0.0753	0.1277	0.0799	0.1248	0.3984
value...27	0.0094	0.0635	0.0225	0.0195	0.1193	0.0682	0.0391	0.3619	0.2966
value...28	0	0.0667	0.0882	0.0589	0.0415	0.038	0	0.3971	0.3095
value...29	0.0067	0.0376	0.0772	0.0266	0.1089	0.0676	0.0328	0.4035	0.2392
value...30	0	0.1312	0.0464	0.0742	0.1019	0.1298	0.0041	0.1485	0.3638
value...31	0	0.1275	0.0315	0.0662	0.1638	0.0879	0.0176	0.1469	0.3586
value...32	0	0.0894	0.0505	0.0868	0.0843	0.0821	0.0209	0.2009	0.385
