
sampleID	B	Endothelial	Fibroblasts	Mono.Macro	Tprolif	CD4Tconv	CD8Tex	otherCells
value...1	0.0025	0.0636	0.1238	0.0679	0.0724	0.0533	0	0.6165
value...2	0	0.0615	0.053	0.0211	0.0773	0	0	0.787
value...3	0.0034	0.0552	0.1271	0.0744	0.0669	0.0224	0	0.6506
value...4	0.012	0.0963	0.0565	0.0612	0.0847	0.0161	0	0.6731
value...5	0.02	0.1062	0.0706	0.0627	0.0713	0.0498	0	0.6194
value...6	0.0176	0.1441	0.1064	0.0512	0.0616	0.0243	0	0.5949
value...7	0.0228	0.1088	0.165	0.0483	0.0088	0.0735	0.0171	0.5557
value...8	0.0071	0.1254	0.0709	0.0665	0.062	0.0315	0	0.6366
value...9	0.001	0.0903	0.0977	0.0415	0.0849	0.0089	0	0.6756
value...10	0.0019	0.0842	0.0704	0.0478	0.074	0	0	0.7217
value...11	0.0264	0.1217	0.0826	0.0557	0.0591	0.0562	0.0075	0.5908
value...12	0.0056	0.0891	0.1213	0.031	0.0806	0.0028	0	0.6696
value...13	0.0413	0.0381	0.1597	0.0723	0.0356	0.0797	0.0329	0.5405
value...14	0.0082	0.0849	0.1168	0.0419	0.0686	0	0	0.6796
value...15	0.0657	0.1094	0.0986	0.0617	0.0356	0.0946	0.0078	0.5265
value...16	0.0288	0.0704	0.1245	0.0471	0.0624	0.066	0.0234	0.5774
value...17	0.0307	0.065	0.119	0.0422	0.0762	0.028	0	0.6389
value...18	0.0257	0.0365	0.1378	0.0602	0.0597	0.0734	0.0123	0.5944
value...19	0.0453	0.0884	0.1442	0.0206	0.0507	0.0299	0	0.6208
value...20	0.0348	0.0844	0.1574	0.0221	0.0462	0.073	0.0207	0.5614
value...21	0.0111	0.0993	0.0726	0.0256	0.0806	0	0	0.7108
value...22	0.0147	0.0568	0.1523	0.1017	0.038	0.0517	0.0191	0.5657
value...23	0.0549	0.0701	0.1222	0.0837	0.0296	0.0962	0.0191	0.5242
value...24	0.0013	0.0718	0.069	0.0259	0.0849	0	0	0.747
value...25	0.0109	0.0585	0.1121	0.0745	0.0702	0.0219	0	0.6519
value...26	0.0128	0.0556	0.0667	0.0534	0.0772	0.0014	0	0.7329
value...27	0.0029	0.0578	0.1081	0.0825	0.0644	0	0	0.6842
value...28	0.0253	0.0874	0.0672	0.0411	0.0823	0.0132	0	0.6834
value...29	4e-04	0.0517	0.083	0.0657	0.0729	0.0096	0	0.7168
value...30	0.0247	0.0755	0.0825	0.0561	0.076	0.0218	0	0.6635
value...31	0.0133	0.1256	0.1129	0.0324	0.0569	0.0611	0	0.5978
value...32	0.0086	0.0795	0.0632	0.0369	0.0783	0	0	0.7335
value...33	0.0205	0.1007	0.1192	0.0341	0.0686	0.0436	0	0.6133
value...34	0	0.0596	0.0737	0.0212	0.0916	0	0	0.7538
value...35	0.0062	0.1395	0.0828	0.0994	0.052	0.066	0.0114	0.5427
value...36	0.0072	0.0496	0.134	0.0738	0.0623	0.0253	0	0.6477
value...37	0.0189	0.0838	0.1103	0.063	0.0725	0.011	0	0.6406
value...38	0.0112	0.0801	0.0812	0.0468	0.0727	0	0	0.708
value...39	0.055	0.1014	0.0628	0.1304	0.0456	0.0395	0.0057	0.5596
value...40	0.0185	0.0581	0.1291	0.0797	0.048	0.0452	0.0109	0.6105
value...41	0.0033	0.0526	0.0884	0.0315	0.079	0	0	0.7453
value...42	0.0101	0.0801	0.0934	0.0766	0.0577	0.0151	0	0.6671
value...43	0.001	0.0658	0.079	0.0311	0.0861	0	0	0.737
value...44	0.0239	0.0921	0.078	0.0128	0.0965	0.0152	0	0.6815
value...45	0.007	0.0682	0.0836	0.0681	0.0774	0.0203	0	0.6753
value...46	0.0094	0.052	0.0946	0.0791	0.0721	0.0114	0	0.6813
value...47	0.0254	0.0557	0.1748	0.0859	0.0216	0.0872	0.0134	0.536
value...48	0.0023	0.0607	0.0886	0.0224	0.0865	0	0	0.7395
value...49	0	0.067	0.0886	0.0408	0.0872	0	0	0.7165
value...50	0.0122	0.0877	0.0582	0.0388	0.0891	0	0	0.714
value...51	0.047	0.0502	0.1666	0.0363	0.0308	0.0634	0.0099	0.5958
value...52	0.0333	0.0877	0.0984	0.0489	0.0721	0.0297	0	0.6299
value...53	0.0089	0.0973	0.0723	0.0296	0.0819	0	0	0.71
value...54	0.0045	0.0979	0.0865	0.0396	0.0817	0.0173	0	0.6726
value...55	0.0548	0.0685	0.1486	0.1055	0.0319	0.0424	0.0232	0.5252
value...56	0.0247	0.0598	0.1337	0.0601	0.0543	0.0663	0	0.6011
value...57	0	0.0782	0.0755	0.0412	0.0802	0	0	0.7249
value...58	0.0252	0.1286	0.0898	0.0361	0.0598	0.0538	0.0024	0.6044
value...59	0.0297	0.0796	0.0768	0.135	0.0425	0.0592	0.0029	0.5742
value...60	0.0113	0.0641	0.0972	0.0727	0.0702	0.0292	0	0.6552
value...61	0	0.0577	0.0545	0.0171	0.0867	0	0	0.784
value...62	0.0038	0.0901	0.0836	0.0397	0.0789	0	0	0.7039
value...63	0.0608	0.0939	0.0755	0.1112	0.0263	0.0632	0.0219	0.5472
value...64	0.0466	0.065	0.1158	0.0493	0.0599	0.0455	0	0.6179
value...65	0	0.0819	0.0853	0.0358	0.0844	0	0	0.7127
value...66	0.0203	0.1059	0.0691	0.0363	0.0664	0	0	0.7021
value...67	0.0014	0.1028	0.0693	0.0647	0.0785	0	0	0.6833
value...68	0.0163	0.0931	0.0737	0.0363	0.0693	0	0	0.7113
value...69	0	0.0855	0.09	0.0128	0.0898	0	0	0.722
value...70	0.0348	0.048	0.1193	0.0621	0.0605	0.0605	0	0.6147
value...71	0.0229	0.0985	0.1358	0.0564	0.0462	0.0209	0	0.6193
value...72	0.0264	0.0661	0.098	0.051	0.08	0.059	0	0.6194
value...73	0.0168	0.1031	0.0705	0.0213	0.0952	0.0304	0	0.6626
value...74	0.0039	0.0866	0.0715	0.0585	0.09	0.0319	0	0.6575
value...75	0.0402	0.1317	0.0777	0.0846	0.0267	0.0747	0.0369	0.5275
value...76	0.0075	0.112	0.1185	0.0961	0.0548	0.0209	0	0.5902
value...77	0.0042	0.1048	0.1064	0.062	0.069	0.0312	0	0.6224
value...78	0.0126	0.0667	0.1058	0.038	0.0778	0.0038	0	0.6953
value...79	0.0306	0.0903	0.1055	0.0477	0.0667	0.0412	0	0.618
value...80	0.0393	0.1488	0.0559	0.1093	0.0281	0.0603	0.0133	0.545
value...81	7e-04	0.1358	0.1177	0.1075	0.0345	0.035	0.016	0.5529
value...82	0.0541	0.13	0.0938	0.0518	0.0498	0.0349	0.0049	0.5807
value...83	0.0358	0.1132	0.1204	0.078	0.0408	0.051	0.0042	0.5565
value...84	0.0407	0.0716	0.162	0.0662	0.0186	0.0563	0.0238	0.5608
value...85	0.0098	0.0843	0.0472	0.0507	0.0952	0.011	0	0.7017
value...86	0.0041	0.0936	0.1139	0.0719	0.0567	0.0428	0	0.6171
value...87	0.0383	0.1075	0.107	0.0489	0.0485	0.0385	0	0.6112
value...88	0.0387	0.1102	0.1287	0.0284	0.0523	0.0532	0.0148	0.5737
value...89	0.0775	0.0353	0.145	0.0552	0.031	0.1002	0.0187	0.5371
value...90	0.0286	0.0684	0.1104	0.0322	0.0715	0.0177	0	0.6713
value...91	0.0243	0.0512	0.0825	0.1299	0.043	0.0854	0.0162	0.5675
value...92	0.0011	0.0715	0.0625	0.023	0.0796	0	0	0.7623
